DIST COUNTY AREA TOTAL DEM REP GRN LIB OTHER
DIST COUNTY AREA TOTAL Dem Rep Grn Lib Other
1 Gregg 01~01 0 2 0 0 0 0
1 Gregg 01~02 0 51 184 0 0 0
1 Gregg 01~03 0 58 118 0 0 0
1 Gregg 01~04 0 88 113 0 0 0
1 Gregg 01~05 0 180 389 0 0 0
1 Gregg 02~01 0 489 1156 0 0 0
1 Gregg 02~02 0 1 17 0 0 0
1 Gregg 02~03 0 117 267 0 0 0
1 Gregg 02~04 0 213 460 0 0 0
1 Gregg 03~01 0 3 7 0 0 0
1 Gregg 03~02 0 749 1677 0 0 0
1 Gregg 03~04 0 2 5 0 0 0
1 Gregg 04~01 0 1 1 0 0 0
1 Gregg 04~02 0 79 182 0 0 0
1 Gregg 04~03 0 499 1753 0 0 0
1 Gregg 04~04 0 0 0 0 0 0
1 Gregg 05~01 0 290 1262 0 0 0
1 Gregg 05~02 0 214 673 0 0 0
1 Gregg 05~03 0 8 51 0 0 0
1 Gregg 05~04 0 83 74 0 0 0
1 Gregg 05~06 0 5 66 0 0 0
1 Gregg 06~03 0 319 1505 0 0 0
1 Gregg 07~01 0 428 1914 0 0 0
1 Gregg 07~02 0 6 6 0 0 0
1 Gregg 08~02 0 56 56 0 0 0
1 Gregg 08~03 0 133 352 0 0 0
1 Gregg 08~04 0 41 129 0 0 0
1 Gregg 08~05 0 298 962 0 0 0
1 Gregg 08~06 0 297 651 0 0 0
1 Gregg 08~07 0 53 100 0 0 0
1 Gregg 09~01 0 129 185 0 0 0
1 Gregg 09~02 0 92 64 0 0 0
1 Gregg 09~03 0 269 484 0 0 0
1 Gregg 09~04 0 429 1323 0 0 0
1 Gregg 10~01 0 511 841 0 0 0
1 Gregg 10~03 0 373 642 0 0 0
1 Gregg 10~06 0 27 84 0 0 0
1 Gregg 10~07 0 61 94 0 0 0
1 Gregg 10~08 0 0 1 0 0 0
1 Gregg 10~09 0 0 3 0 0 0
1 Gregg 10~10 0 0 0 0 0 0
1 Gregg 11~06 0 499 1401 0 0 0
1 Gregg 11~08 0 174 611 0 0 0
1 Gregg 11~09 0 70 154 0 0 0
1 Gregg 12~04 0 21 74 0 0 0
1 Gregg 12~05 0 18 78 0 0 0
1 Gregg 12~07 0 334 2540 0 0 0
1 Gregg 12~08 0 42 179 0 0 0
1 Gregg 13~01 0 13 94 0 0 0
1 Gregg 13~02 0 371 809 0 0 0
1 Gregg 13~03 0 25 110 0 0 0
1 Gregg 13~04 0 29 242 0 0 0
1 Gregg 13~06 0 21 240 0 0 0
1 Gregg 14~03 0 45 236 0 0 0
1 Gregg 14~04 0 19 69 0 0 0
1 Gregg 14~05 0 413 2406 0 0 0
1 Gregg 15~01 0 155 284 0 0 0
1 Gregg 15~02 0 13 27 0 0 0
1 Gregg 15~03 0 103 272 0 0 0
1 Gregg 15~04 0 3 1 0 0 0
1 Gregg 16~01 0 43 317 0 0 0
1 Gregg 16~02 0 417 1850 0 0 0
1 Gregg 16~03 0 29 161 0 0 0
1 Gregg 16~04 0 14 10 0 0 0
1 Gregg 17~01 0 16 84 0 0 0
1 Gregg 17~02 0 235 177 0 0 0
1 Gregg 17~04 0 0 2 0 0 0
1 Gregg 17~05 0 2 18 0 0 0
1 Gregg 18~01 0 1 2 0 0 0
1 Gregg 18~02 0 97 48 0 0 0
1 Gregg 18~03 0 1 4 0 0 0
1 Gregg 18~04 0 330 816 0 0 0
1 Gregg 18~05 0 224 73 0 0 0
1 Gregg 18~06 0 74 9 0 0 0
1 Gregg 18~07 0 427 171 0 0 0
1 Gregg 19~01 0 295 44 0 0 0
1 Gregg 19~03 0 262 86 0 0 0
1 Gregg 19~04 0 0 0 0 0 0
1 Gregg 19~05 0 965 159 0 0 0
1 Gregg 19~06 0 121 42 0 0 0
1 Gregg 19~07 0 3 0 0 0 0
1 Gregg 20~01 0 114 63 0 0 0
1 Gregg 20~04 0 26 19 0 0 0
1 Gregg 20~05 0 99 50 0 0 0
1 Gregg 20~06 0 58 44 0 0 0
1 Gregg 20~07 0 81 56 0 0 0
1 Gregg 20~08 0 706 171 0 0 0
1 Gregg 20~09 0 30 37 0 0 0
1 Gregg 21~01 0 155 124 0 0 0
1 Gregg 21~02 0 123 106 0 0 0
1 Gregg 21~03 0 97 86 0 0 0
1 Gregg 21~05 0 7 7 0 0 0
1 Gregg 21~06 0 53 27 0 0 0
1 Gregg 21~07 0 637 151 0 0 0
1 Gregg 21~10 0 0 0 0 0 0
1 Harrison "Precinct 1" 0 0 0 0 0 1469
1 Harrison "Precinct 10" 0 0 0 0 0 783
1 Harrison "Precinct 11" 0 0 0 0 0 346
1 Harrison "Precinct 12" 0 0 0 0 0 3659
1 Harrison "Precinct 13" 0 0 0 0 0 1123
1 Harrison "Precinct 14" 0 0 0 0 0 981
1 Harrison "Precinct 15" 0 0 0 0 0 826
1 Harrison "Precinct 16" 0 0 0 0 0 451
1 Harrison "Precinct 17" 0 0 0 0 0 1060
1 Harrison "Precinct 18" 0 0 0 0 0 602
1 Harrison "Precinct 19" 0 0 0 0 0 2426
1 Harrison "Precinct 2" 0 0 0 0 0 1075
1 Harrison "Precinct 20" 0 0 0 0 0 1692
1 Harrison "Precinct 21" 0 0 0 0 0 524
1 Harrison "Precinct 22" 0 0 0 0 0 986
1 Harrison "Precinct 23" 0 0 0 0 0 443
1 Harrison "Precinct 24" 0 0 0 0 0 437
