DIST COUNTY AREA TOTAL DEM REP GRN LIB OTHER
DIST COUNTY AREA TOTAL Dem Rep Grn Lib Other
NA Anderson 1 0 357 791 1 13 2
NA Anderson 10 0 42 327 0 0 0
NA Anderson 11 0 202 643 0 8 1
NA Anderson 13-14 0 316 785 0 9 0
NA Anderson 15 0 79 578 1 2 1
NA Anderson 16 0 106 519 2 4 0
NA Anderson 17 0 127 489 2 5 0
NA Anderson 18 0 215 1211 1 11 0
NA Anderson 19 0 346 1118 1 15 1
NA Anderson 2 0 205 1548 2 14 0
NA Anderson 20 0 180 551 3 11 0
NA Anderson 21 0 183 1086 1 3 1
NA Anderson 22 0 105 640 0 5 0
NA Anderson 23 0 99 876 1 2 0
NA Anderson 24 0 43 601 0 4 0
NA Anderson 3 0 118 746 2 7 0
NA Anderson 4 0 117 1031 0 8 0
NA Anderson 5 0 12 203 0 0 0
NA Anderson 6 0 389 388 4 2 0
NA Anderson 7 0 462 167 0 3 0
NA Anderson 8 0 92 75 1 3 0
NA Anderson 9 0 160 737 0 5 0
NA Andrews "Precinct 1" 0 196 1242 1 13 0
NA Andrews "Precinct 2" 0 233 1661 3 28 0
NA Andrews "Precinct 3" 0 218 1141 3 12 0
NA Andrews "Precinct 4" 0 202 893 3 7 0
NA Angelina "PRECINCT 1" 0 121 162 0 0 0
NA Angelina "PRECINCT 10" 0 392 421 3 6 2
NA Angelina "PRECINCT 11" 0 160 1486 2 6 1
NA Angelina "PRECINCT 11B" 0 116 631 3 7 0
NA Angelina "PRECINCT 12" 0 100 478 0 7 1
NA Angelina "PRECINCT 13" 0 200 219 1 11 1
NA Angelina "PRECINCT 14" 0 443 892 2 14 6
NA Angelina "PRECINCT 15" 0 73 405 0 4 0
NA Angelina "PRECINCT 16" 0 561 638 3 14 1
NA Angelina "PRECINCT 17" 0 120 1151 1 4 1
NA Angelina "PRECINCT 17B" 0 18 285 1 0 0
NA Angelina "PRECINCT 18" 0 144 313 1 3 1
NA Angelina "PRECINCT 19" 0 355 700 5 9 4
NA Angelina "PRECINCT 2" 0 1011 351 6 10 1
NA Angelina "PRECINCT 20" 0 1116 210 4 3 4
NA Angelina "PRECINCT 21" 0 209 619 1 7 1
NA Angelina "PRECINCT 22" 0 86 749 1 5 1
NA Angelina "PRECINCT 23" 0 73 412 0 6 2
NA Angelina "PRECINCT 24" 0 348 1319 4 15 4
NA Angelina "PRECINCT 25" 0 241 1287 3 10 4
NA Angelina "PRECINCT 26" 0 153 1088 0 6 1
NA Angelina "PRECINCT 27" 0 21 254 0 5 1
NA Angelina "PRECINCT 28" 0 135 705 3 6 1
NA Angelina "PRECINCT 29" 0 132 949 1 7 0
NA Angelina "PRECINCT 3" 0 234 1047 4 12 0
NA Angelina "PRECINCT 30" 0 63 687 0 7 1
NA Angelina "PRECINCT 31" 0 58 224 1 2 1
NA Angelina "PRECINCT 32" 0 5 75 0 0 0
NA Angelina "PRECINCT 33" 0 61 893 2 3 1
NA Angelina "PRECINCT 34" 0 466 1085 5 20 6
NA Angelina "PRECINCT 35" 0 325 985 3 9 5
NA Angelina "PRECINCT 36" 0 0 0 0 0 0
NA Angelina "PRECINCT 37" 0 59 304 2 5 1
NA Angelina "PRECINCT 38" 0 49 241 0 2 0
NA Angelina "PRECINCT 39" 0 108 233 1 3 0
NA Angelina "PRECINCT 4" 0 366 452 1 9 5
NA Angelina "PRECINCT 40" 0 200 332 1 1 0
NA Angelina "PRECINCT 5" 0 468 611 7 14 2
NA Angelina "PRECINCT 6" 0 51 275 1 0 0
NA Angelina "PRECINCT 7" 0 121 909 1 11 3
NA Angelina "PRECINCT 8" 0 111 847 0 10 4
NA Angelina "PRECINCT 9" 0 70 152 1 1 0
NA Aransas 1 0 319 1317 5 12 0
NA Aransas 1A 0 215 888 2 3 0
NA Aransas 2 0 664 1637 5 21 0
NA Aransas 3 0 843 2406 11 30 0
NA Aransas 4 0 687 2307 4 28 1
NA Aransas 4A 0 188 684 4 9 0
NA Archer 1 0 85 859 2 7 0
NA Archer 10 0 79 533 0 8 0
NA Archer 11 0 8 67 0 0 0
NA Archer 2 0 73 720 0 7 0
NA Archer 3 0 26 257 0 2 0
NA Archer 4 0 28 500 1 1 1
NA Archer 5 0 11 121 0 2 0
NA Archer 6 0 81 747 1 11 0
NA Archer 7 0 11 141 0 1 0
NA Archer 8 0 33 228 0 5 0
NA Archer 9 0 11 127 0 1 0
NA Armstrong "Precinct 101" 0 15 268 0 0 0
NA Armstrong "Precinct 201" 0 14 145 0 1 0
NA Armstrong "Precinct 202" 0 10 61 0 0 0
NA Armstrong "Precinct 301" 0 12 222 0 0 0
NA Armstrong "Precinct 303" 0 6 37 0 0 0
NA Armstrong "Precinct 401" 0 8 144 0 0 0
NA Armstrong "Precinct 402" 0 10 135 0 1 0
NA Armstrong "Precinct 404" 0 0 23 0 0 0
NA Atascosa 1 0 140 451 1 3 0
NA Atascosa 10 0 320 547 2 8 0
NA Atascosa 11 0 5 31 1 0 0
NA Atascosa 12 0 274 504 2 7 4
NA Atascosa 13 0 440 1229 5 6 4
NA Atascosa 14 0 79 234 2 3 0
NA Atascosa 15 0 485 723 7 11 3
NA Atascosa 16 0 67 106 0 1 0
NA Atascosa 17 0 614 561 3 12 1
NA Atascosa 18 0 339 756 2 4 1
NA Atascosa 19 0 75 251 0 1 1
NA Atascosa 2 0 333 447 3 6 0
NA Atascosa 20 0 622 2106 6 29 2
NA Atascosa 21 0 25 147 1 4 0
NA Atascosa 22 0 102 416 1 2 0
NA Atascosa 23 0 185 267 2 4 0
NA Atascosa 24 0 457 754 8 13 1
NA Atascosa 3 0 333 687 3 9 1
NA Atascosa 4 0 23 80 0 0 0
NA Atascosa 5 0 476 626 4 4 3
NA Atascosa 6 0 5 74 0 1 0
NA Atascosa 7 0 343 670 3 9 0
NA Atascosa 8 0 122 259 2 4 1
NA Atascosa 9 0 12 113 0 2 0
NA Austin "Precinct 101" 0 187 751 1 8 3
NA Austin "Precinct 102" 0 217 808 4 7 4
NA Austin "Precinct 103" 0 161 974 2 16 4
NA Austin "Precinct 104" 0 97 512 1 4 4
NA Austin "Precinct 205" 0 293 1140 0 16 6
NA Austin "Precinct 206" 0 78 391 1 3 0
NA Austin "Precinct 207 & 208" 0 133 763 3 6 2
NA Austin "Precinct 209" 0 102 391 0 1 0
NA Austin "Precinct 210" 0 87 477 1 0 0
NA Austin "Precinct 211" 0 38 258 0 2 2
NA Austin "Precinct 312" 0 40 451 1 4 2
NA Austin "Precinct 313" 0 307 356 4 9 4
NA Austin "Precinct 314" 0 436 1507 10 22 10
NA Austin "Precinct 415" 0 257 756 1 5 6
NA Austin "Precinct 416" 0 216 699 1 6 2
NA Austin "Precinct 417" 0 136 310 0 3 2
NA Austin "Precinct 418" 0 166 903 3 11 10
NA Bailey 1 0 114 440 0 6 0
NA Bailey 2 0 101 607 0 3 0
NA Bailey 3 0 104 255 0 4 2
NA Bailey 4 0 90 132 0 1 1
NA Bandera 101 0 286 1109 4 10 0
NA Bandera 102 0 397 1684 6 24 1
NA Bandera 203 0 407 1321 0 17 2
NA Bandera 204 0 324 968 3 10 0
NA Bandera 305 0 202 1073 4 8 1
NA Bandera "305 CITY" 0 105 375 5 7 2
NA Bandera "305 MISD" 0 33 103 0 1 0
NA Bandera "306 MISD" 0 142 971 1 13 2
NA Bandera 407 0 282 1261 1 17 3
NA Bandera "407 FLYING L" 0 45 238 2 4 2
NA Bandera "407 MISD" 0 1 7 0 0 0
NA Bandera 408 0 34 85 1 1 1
NA Bandera "408 MISD" 0 19 44 1 2 0
NA Bandera "408 UISD" 0 14 36 0 0 0
NA Bandera 409 0 133 441 2 3 0
NA Bandera "410 UISD" 0 81 341 0 3 0
NA Bastrop "Precinct 1001" 0 1024 1676 5 46 5
NA Bastrop "Precinct 1002" 0 917 812 4 24 3
NA Bastrop "Precinct 1003" 0 1131 1392 12 27 8
NA Bastrop "Precinct 1004" 0 760 869 9 25 5
NA Bastrop "Precinct 1022" 0 1049 1502 7 46 11
NA Bastrop "Precinct 2005" 0 806 1119 7 16 2
NA Bastrop "Precinct 2006" 0 409 804 4 15 2
NA Bastrop "Precinct 2007" 0 443 1285 6 17 1
NA Bastrop "Precinct 2008" 0 244 541 5 8 3
NA Bastrop "Precinct 2009" 0 370 640 3 16 1
NA Bastrop "Precinct 2010" 0 338 756 6 15 1
NA Bastrop "Precinct 2011" 0 758 1202 5 29 8
NA Bastrop "Precinct 3012" 0 187 553 2 16 4
NA Bastrop "Precinct 3013" 0 346 801 4 24 5
NA Bastrop "Precinct 3014" 0 843 804 6 20 1
NA Bastrop "Precinct 3015" 0 1032 697 6 20 6
NA Bastrop "Precinct 3016" 0 884 1021 7 32 10
NA Bastrop "Precinct 4017" 0 1209 836 8 38 10
NA Bastrop "Precinct 4018" 0 171 343 1 5 3
NA Bastrop "Precinct 4019" 0 814 1000 10 27 6
NA Bastrop "Precinct 4020" 0 1402 1193 8 49 9
NA Bastrop "Precinct 4021" 0 337 670 3 16 9
NA Baylor 1 0 35 480 0 0 0
NA Baylor 2 0 43 313 0 5 0
NA Baylor 3 0 46 305 0 8 0
NA Baylor 4 0 59 396 1 4 2
NA Bee PCT 0 3288 6006 27 93 12
NA Blanco "Precinct 102" 0 450 1362 6 22 6
NA Blanco "Precinct 201" 0 472 1339 2 17 6
NA Blanco "Precinct 302" 0 298 692 1 5 6
NA Blanco "Precinct 303" 0 104 385 0 6 4
NA Blanco "Precinct 304" 0 68 168 1 1 0
NA Blanco "Precinct 401" 0 519 1497 5 21 14
NA Borden 1A 0 5 48 0 1 0
NA Borden 1B 0 0 48 0 0 0
NA Borden 2A 0 2 79 0 0 0
NA Borden 2B 0 1 35 0 0 0
NA Borden 3A 0 1 23 0 0 0
NA Borden 3B 0 0 34 0 0 0
NA Borden 4 0 4 103 0 0 0
NA Borden Provisional 0 0 2 1 1 0
NA Bosque "Precinct 1" 0 62 489 0 2 2
NA Bosque "Precinct 10" 0 203 846 0 14 1
NA Bosque "Precinct 11" 0 98 542 4 8 1
NA Bosque "Precinct 2" 0 108 503 2 4 3
NA Bosque "Precinct 3" 0 121 684 1 10 2
NA Bosque "Precinct 4" 0 51 350 0 3 0
NA Bosque "Precinct 5" 0 243 980 1 6 0
NA Bosque "Precinct 6" 0 168 774 1 5 2
NA Bosque "Precinct 7" 0 78 449 1 4 0
NA Bosque "Precinct 8" 0 322 1322 3 22 3
NA Bosque "Precinct 9" 0 107 530 0 5 0
NA Bowie 10 0 266 1139 2 14 1
NA Bowie 11 0 262 420 2 15 0
NA Bowie 12 0 232 559 5 13 3
NA Bowie 13 0 18 22 0 0 0
NA Bowie 14 0 600 320 7 11 4
NA Bowie 15 0 45 354 0 4 0
NA Bowie 16 0 89 913 0 10 0
NA Bowie 17 0 160 1072 2 7 1
NA Bowie 18 0 288 325 4 18 1
NA Bowie 19 0 38 591 0 2 0
NA Bowie 1A 0 482 76 2 6 2
NA Bowie 1B 0 452 204 2 3 0
NA Bowie 20 0 148 275 2 1 1
NA Bowie 21 0 38 134 2 1 1
NA Bowie 22 0 39 230 1 1 1
NA Bowie 24 0 42 379 1 1 0
NA Bowie 25 0 151 711 3 4 2
NA Bowie 27 0 18 478 0 4 0
NA Bowie 28 0 34 542 1 1 0
NA Bowie 29 0 30 232 0 1 0
NA Bowie 2A 0 501 146 1 5 2
NA Bowie 2B 0 156 68 2 2 0
NA Bowie 2C 0 528 76 2 3 0
NA Bowie 2D 0 14 12 0 1 0
NA Bowie 30 0 197 799 2 9 2
