COUNTY AREA TOTAL DEM REP LIB GRN Writein
COUNTY AREA TOTAL Biden Trump Jorgensen Hawkins Writein
Harris 2010001 0 1897 745 46 9 0
Harris 2010002 0 1093 448 44 3 0
Harris 2010003 0 1120 502 33 2 0
Harris 2010004 0 1187 454 31 4 0
Harris 2010005 0 894 345 20 6 0
Harris 2010006 0 1708 1258 27 15 0
Harris 2010007 0 491 34 2 1 0
Harris 2010008 0 732 529 19 6 0
Harris 2010009 0 1169 342 27 9 0
Harris 2010010 0 792 250 9 6 0
Harris 2010011 0 817 242 11 6 0
Harris 2010012 0 219 202 3 0 0
Harris 2010013 0 684 1128 13 6 1
Harris 2010014 0 963 584 23 4 2
Harris 2010015 0 1574 999 29 5 0
Harris 2010016 0 1141 634 26 5 0
Harris 2010017 0 524 318 6 2 0
Harris 2010018 0 762 428 10 2 0
Harris 2010019 0 964 292 35 3 0
Harris 2010020 0 1305 371 20 9 0
Harris 2010021 0 772 149 16 6 0
Harris 2010022 0 1304 218 13 3 0
Harris 2010023 0 206 55 3 2 0
Harris 2010024 0 513 81 4 1 0
Harris 2010025 0 441 31 4 1 0
Harris 2010026 0 1071 310 17 4 0
Harris 2010027 0 1690 496 22 15 0
Harris 2010028 0 1259 1292 26 6 2
Harris 2010029 0 730 571 13 2 0
Harris 2010030 0 1868 608 50 6 0
Harris 2010031 0 1293 73 11 3 0
Harris 2010032 0 1797 628 51 9 0
Harris 2010033 0 2454 847 62 14 0
Harris 2010034 0 1959 421 21 9 0
Harris 2010035 0 4 3 0 0 0
Harris 2010036 0 1152 548 10 4 0
Harris 2010037 0 1657 506 33 6 1
Harris 2010038 0 1952 634 24 5 0
Harris 2010039 0 2167 534 31 5 0
Harris 2010040 0 296 145 4 1 0
Harris 2010041 0 709 426 14 1 0
Harris 2010042 0 436 27 5 2 0
Harris 2010043 0 787 518 8 4 0
Harris 2010044 0 913 286 15 0 0
Harris 2010045 0 3775 1125 38 18 0
Harris 2010046 0 1081 301 10 11 0
Harris 2010047 0 730 70 2 3 0
Harris 2010048 0 513 63 5 2 0
Harris 2010049 0 1423 2302 48 16 1
Harris 2010050 0 1769 1419 30 6 0
Harris 2010051 0 351 906 15 7 0
Harris 2010052 0 1569 773 37 3 0
Harris 2010053 0 1928 817 44 4 0
Harris 2010054 0 975 569 25 1 0
Harris 2010055 0 1756 830 61 8 0
Harris 2010056 0 608 598 22 3 0
Harris 2010057 0 2016 778 48 5 0
Harris 2010058 0 2017 1046 64 12 0
Harris 2010059 0 1685 753 35 9 0
Harris 2010060 0 1903 413 21 11 0
Harris 2010061 0 686 378 6 5 0
Harris 2010062 0 784 352 12 4 0
Harris 2010063 0 275 1023 14 0 0
Harris 2010064 0 871 299 7 3 0
Harris 2010065 0 750 304 10 4 0
Harris 2010066 0 412 159 5 4 0
Harris 2010067 0 1211 414 11 6 0
Harris 2010068 0 1861 89 10 8 0
Harris 2010069 0 498 148 1 3 0
Harris 2010070 0 1971 1612 46 5 0
Harris 2010071 0 3248 2083 107 8 1
Harris 2010072 0 911 427 19 7 0
Harris 2010073 0 865 634 27 4 0
Harris 2010074 0 934 1955 41 4 0
Harris 2010075 0 1141 571 38 4 0
Harris 2010076 0 819 757 10 4 0
Harris 2010077 0 5 2 0 0 0
Harris 2010078 0 661 319 3 4 0
Harris 2010079 0 1026 445 11 7 0
Harris 2010080 0 1260 461 8 4 0
Harris 2010081 0 740 531 11 1 0
