DIST COUNTY AREA TOTAL DEM REP GRN LIB OTHER
DIST COUNTY AREA TOTAL Dem Rep Grn Lib Other
NA Anderson 1 0 324 788 6 28 0
NA Anderson 10 0 37 324 2 3 0
NA Anderson 11 0 141 636 3 13 0
NA Anderson 13-14 0 288 771 4 21 0
NA Anderson 15 0 79 866 4 7 0
NA Anderson 16 0 106 510 0 10 0
NA Anderson 17 0 127 468 3 8 0
NA Anderson 18 0 202 1201 7 23 0
NA Anderson 19 0 326 1089 6 26 0
NA Anderson 2 0 202 1498 5 33 0
NA Anderson 20 0 169 538 4 21 0
NA Anderson 21 0 156 1070 7 24 0
NA Anderson 22 0 91 631 4 15 0
NA Anderson 23 0 97 864 6 7 0
NA Anderson 24 0 40 592 1 11 0
NA Anderson 3 0 121 718 2 14 0
NA Anderson 4 0 99 1023 1 21 0
NA Anderson 5 0 9 197 2 2 0
NA Anderson 6 0 367 383 6 14 0
NA Anderson 7 0 446 162 4 7 0
NA Anderson 8 0 88 69 2 6 0
NA Anderson 9 0 136 720 5 20 0
NA Andrews "Precinct 1" 0 193 1205 6 26 0
NA Andrews "Precinct 2" 0 219 1638 12 37 0
NA Andrews "Precinct 3" 0 205 1125 3 21 0
NA Andrews "Precinct 4" 0 189 866 12 13 0
NA Angelina "PRECINCT 1" 0 107 170 0 4 0
NA Angelina "PRECINCT 10" 0 368 418 13 11 0
NA Angelina "PRECINCT 11" 0 138 1485 3 17 0
NA Angelina "PRECINCT 11B" 0 106 622 3 16 0
NA Angelina "PRECINCT 12" 0 88 484 1 7 0
NA Angelina "PRECINCT 13" 0 193 219 4 12 0
NA Angelina "PRECINCT 14" 0 397 906 8 26 0
NA Angelina "PRECINCT 15" 0 72 394 1 8 0
NA Angelina "PRECINCT 16" 0 547 611 12 24 0
NA Angelina "PRECINCT 17" 0 109 1112 4 16 0
NA Angelina "PRECINCT 17B" 0 18 275 0 1 0
NA Angelina "PRECINCT 18" 0 128 317 2 5 0
NA Angelina "PRECINCT 19" 0 315 733 10 11 0
NA Angelina "PRECINCT 2" 0 955 371 11 27 0
NA Angelina "PRECINCT 20" 0 1076 209 6 20 0
NA Angelina "PRECINCT 21" 0 189 634 1 7 0
NA Angelina "PRECINCT 22" 0 80 735 3 15 0
NA Angelina "PRECINCT 23" 0 63 407 5 7 0
NA Angelina "PRECINCT 24" 0 314 1314 12 32 0
NA Angelina "PRECINCT 25" 0 224 1280 8 18 0
NA Angelina "PRECINCT 26" 0 139 1080 5 16 0
NA Angelina "PRECINCT 27" 0 18 251 2 6 0
NA Angelina "PRECINCT 28" 0 129 700 6 11 0
NA Angelina "PRECINCT 29" 0 130 935 4 11 0
NA Angelina "PRECINCT 3" 0 203 1051 4 28 0
NA Angelina "PRECINCT 30" 0 57 673 1 12 0
NA Angelina "PRECINCT 31" 0 56 223 2 2 0
NA Angelina "PRECINCT 32" 0 6 72 0 1 0
NA Angelina "PRECINCT 33" 0 51 886 3 5 0
NA Angelina "PRECINCT 34" 0 404 1120 7 30 0
NA Angelina "PRECINCT 35" 0 284 993 10 23 0
NA Angelina "PRECINCT 36" 0 0 0 0 0 0
NA Angelina "PRECINCT 37" 0 55 303 2 9 0
NA Angelina "PRECINCT 38" 0 42 240 3 1 0
