COUNTY AREA TOTAL DEM REP IND1 IND2
COUNTY AREA TOTAL Hegar Cornyn McKennon Collins
Anderson 0010001 0 334 787 24 8
Anderson 0010002 0 199 1521 23 10
Anderson 0010003 0 118 736 9 3
Anderson 0010004 0 112 1022 17 1
Anderson 0010005 0 9 202 1 0
Anderson 0010006 0 362 394 16 8
Anderson 0010007 0 455 157 3 7
Anderson 0010008 0 93 69 1 3
Anderson 0010009 0 156 724 11 1
Anderson 0010010 0 37 328 2 1
Anderson 0010011 0 189 640 11 2
Anderson 0010013 0 288 789 18 5
Anderson 0010015 0 72 573 8 1
Anderson 0010016 0 105 511 11 1
Anderson 0010017 0 129 474 8 2
Anderson 0010018 0 213 1206 13 4
Anderson 0010019 0 345 1091 20 9
Anderson 0010020 0 166 551 14 9
Anderson 0010021 0 169 1078 13 5
Anderson 0010022 0 101 638 9 2
Anderson 0010023 0 91 864 11 5
Anderson 0010024 0 49 588 6 1
Andrews 0030001 0 184 1215 28 7
Andrews 0030002 0 214 1658 36 5
Andrews 0030003 0 193 1138 30 3
Andrews 0030004 0 188 877 13 5
Angelina 0050001 0 112 170 1 0
Angelina 0050002 0 974 358 24 7
Angelina 0050003 0 223 1040 20 5
Angelina 0050004 0 355 458 9 5
Angelina 0050005 0 453 604 19 8
Angelina 0050006 0 51 271 3 0
Angelina 0050007 0 116 916 12 5
Angelina 0050008a 0 64 508 7 1
Angelina 0050008b 0 41 336 5 1
Angelina 0050009 0 62 155 0 2
Angelina 0050010a 0 331 377 13 8
Angelina 0050010b 0 42 46 1 0
Angelina 0050011 0 161 1480 9 6
Angelina 0050012 0 88 479 14 0
Angelina 0050013 0 194 224 9 1
Angelina 0050014 0 415 899 26 4
Angelina 0050015 0 76 396 9 2
Angelina 0050016 0 526 644 25 8
Angelina 0050017 0 116 1118 17 4
Angelina 0050018 0 141 312 3 1
Angelina 0050019 0 329 730 8 9
Angelina 0050020 0 1064 225 23 10
Angelina 0050021 0 199 615 14 2
Angelina 0050022 0 94 732 8 0
Angelina 0050023 0 74 402 9 3
Angelina 0050024 0 346 1296 21 15
Angelina 0050025 0 231 1277 13 12
Angelina 0050026 0 151 1080 10 2
Angelina 0050027 0 22 255 3 0
Angelina 0050028 0 137 693 11 4
Angelina 0050029 0 134 936 9 2
Angelina 0050030 0 64 674 10 0
Angelina 0050031 0 58 220 5 1
Angelina 0050032 0 5 74 0 0
Angelina 0050033 0 66 876 6 2
Angelina 0050034 0 416 1120 28 5
Angelina 0050035 0 306 974 27 10
Angelina 0050036 0 0 0 0 0
Angelina 0050037 0 59 304 5 2
Angelina 0050038 0 45 237 3 3
Angelina 0050039 0 104 229 10 1
Angelina 0050040 0 188 336 2 1
Angelina 005011b 0 116 619 8 7
Angelina 005017b 0 22 267 2 2
Aransas 0070001 0 306 1297 27 10
