DIST COUNTY AREA TOTAL DEM REP GRN LIB OTHER
DIST COUNTY AREA TOTAL Dem Rep Grn Lib Other
NA Anderson 1 0 334 787 8 24 0
NA Anderson 10 0 37 328 1 2 0
NA Anderson 11 0 189 640 2 11 0
NA Anderson 13-14 0 288 789 5 18 0
NA Anderson 15 0 72 573 1 8 0
NA Anderson 16 0 105 511 1 11 0
NA Anderson 17 0 129 474 2 8 0
NA Anderson 18 0 213 1206 4 13 0
NA Anderson 19 0 345 1091 9 20 0
NA Anderson 2 0 199 1521 10 23 0
NA Anderson 20 0 166 551 9 14 0
NA Anderson 21 0 169 1078 5 13 0
NA Anderson 22 0 101 638 2 9 0
NA Anderson 23 0 91 864 5 11 0
NA Anderson 24 0 49 588 1 6 0
NA Anderson 3 0 118 736 3 9 0
NA Anderson 4 0 112 1022 1 17 0
NA Anderson 5 0 9 202 0 1 0
NA Anderson 6 0 362 394 8 16 0
NA Anderson 7 0 455 157 7 3 0
NA Anderson 8 0 93 69 3 1 0
NA Anderson 9 0 156 724 1 11 0
NA Andrews "Precinct 1" 0 184 1215 7 28 0
NA Andrews "Precinct 2" 0 214 1658 5 36 0
NA Andrews "Precinct 3" 0 193 1138 3 30 0
NA Andrews "Precinct 4" 0 188 877 5 13 0
NA Aransas 1 0 306 1297 10 27 0
NA Aransas 1A 0 202 875 4 12 0
NA Aransas 2 0 635 1586 17 45 0
NA Aransas 3 0 763 2438 19 45 0
NA Aransas 4 0 644 2308 14 36 0
NA Aransas 4A 0 179 685 4 13 0
NA Archer 1 0 96 827 2 13 0
NA Archer 10 0 86 525 2 5 0
NA Archer 11 0 8 66 0 1 0
NA Archer 2 0 72 706 3 8 0
NA Archer 3 0 24 256 0 4 0
NA Archer 4 0 28 483 2 4 0
NA Archer 5 0 12 117 1 2 0
NA Archer 6 0 85 719 1 18 0
NA Archer 7 0 13 129 0 4 0
NA Archer 8 0 34 221 2 5 0
NA Archer 9 0 9 129 1 1 0
NA Atascosa 1 0 126 458 3 7 0
NA Atascosa 10 0 299 537 10 11 0
NA Atascosa 11 0 5 32 1 0 0
NA Atascosa 12 0 259 511 7 7 1
NA Atascosa 13 0 430 1212 14 13 1
NA Atascosa 14 0 76 224 4 4 0
NA Atascosa 15 0 453 707 16 29 2
NA Atascosa 16 0 63 103 2 3 0
NA Atascosa 17 0 605 523 9 20 1
NA Atascosa 18 0 340 707 10 15 2
NA Atascosa 19 0 74 238 2 8 1
NA Atascosa 2 0 309 450 5 11 2
NA Atascosa 20 0 572 2141 14 33 2
NA Atascosa 21 0 25 147 2 2 0
NA Atascosa 22 0 88 416 1 7 0
NA Atascosa 23 0 182 258 2 11 0
NA Atascosa 24 0 435 761 4 20 0
NA Atascosa 3 0 302 691 8 19 0
NA Atascosa 4 0 24 74 0 0 0
NA Atascosa 5 0 453 613 14 18 0
NA Atascosa 6 0 4 77 0 0 0
NA Atascosa 7 0 335 653 10 16 0
NA Atascosa 8 0 117 261 4 3 0
NA Atascosa 9 0 12 112 0 1 0
NA Austin "Precinct 101" 0 175 759 2 10 2
NA Austin "Precinct 102" 0 215 800 1 16 0
NA Austin "Precinct 103" 0 140 981 5 20 8
NA Austin "Precinct 104" 0 82 525 1 6 0
NA Austin "Precinct 205" 0 250 1157 6 23 8
NA Austin "Precinct 206" 0 73 389 1 8 0
NA Austin "Precinct 207 & 208" 0 118 762 3 14 2
NA Austin "Precinct 209" 0 94 391 1 7 0
NA Austin "Precinct 210" 0 81 474 0 3 0
NA Austin "Precinct 211" 0 35 255 1 4 0
NA Austin "Precinct 312" 0 40 449 3 2 0
NA Austin "Precinct 313" 0 297 349 8 13 4
NA Austin "Precinct 314" 0 411 1521 7 26 6
NA Austin "Precinct 415" 0 240 754 8 14 0
NA Austin "Precinct 416" 0 219 681 2 16 0
NA Austin "Precinct 417" 0 134 297 4 11 2
NA Austin "Precinct 418" 0 148 910 4 22 6
NA Bailey 1 0 109 428 0 12 1
NA Bailey 2 0 99 592 0 6 6
NA Bailey 3 0 96 252 0 7 3
NA Bailey 4 0 79 128 0 3 1
NA Bandera 101 0 262 1102 5 22 0
NA Bandera 102 0 357 1679 11 41 1
NA Bandera 203 0 377 1301 5 43 0
