COUNTY AREA TOTAL DEM REP LIB GRN Writein
COUNTY AREA TOTAL Hegar Cornyn McKennon Collins Writein
Harris 1 0 1740 861 59 25 0
Harris 2 0 995 526 44 5 0
Harris 3 0 1045 550 33 9 0
Harris 4 0 1094 546 27 4 0
Harris 5 0 821 418 17 9 0
Harris 6 0 1655 1220 59 37 0
Harris 7 0 470 34 5 5 0
Harris 8 0 679 552 27 6 1
Harris 9 0 1090 368 49 17 0
Harris 10 0 718 246 27 18 0
Harris 11 0 765 244 14 15 0
Harris 12 0 192 206 14 3 0
Harris 13 0 648 1107 30 13 1
Harris 14 0 889 642 23 11 0
Harris 15 0 1343 1252 17 9 0
Harris 16 0 1071 681 40 12 0
Harris 17 0 488 328 12 6 0
Harris 18 0 668 502 15 8 0
Harris 19 0 918 323 38 6 0
Harris 20 0 1234 402 44 11 0
Harris 21 0 734 163 26 15 0
Harris 22 0 1225 237 26 14 0
Harris 23 0 198 57 6 1 0
Harris 24 0 480 94 16 8 0
Harris 25 0 419 34 3 4 0
Harris 26 0 1016 304 28 21 0
Harris 27 0 1585 496 48 37 0
Harris 28 0 1173 1288 59 15 0
Harris 29 0 683 534 21 14 0
Harris 30 0 1757 661 72 21 0
Harris 31 0 1223 83 28 23 0
Harris 32 0 1690 711 56 17 0
Harris 33 0 2284 994 71 24 0
Harris 34 0 1881 466 47 17 0
Harris 35 0 4 2 0 0 0
Harris 36 0 1076 548 24 16 0
Harris 37 0 1524 605 45 17 0
Harris 38 0 1819 744 37 12 0
Harris 39 0 2050 610 45 17 0
Harris 40 0 268 174 5 0 0
Harris 41 0 665 434 29 8 0
Harris 42 0 407 29 10 4 0
Harris 43 0 734 529 18 10 0
Harris 44 0 851 299 20 16 0
Harris 45 0 3628 1082 89 49 0
Harris 46 0 1023 295 31 12 0
Harris 47 0 691 76 13 3 0
Harris 48 0 476 74 7 7 0
Harris 49 0 1327 2289 73 37 0
Harris 50 0 1649 1447 69 17 0
Harris 51 0 318 907 22 11 0
Harris 52 0 1430 860 50 15 0
Harris 53 0 1748 959 57 15 0
Harris 54 0 882 647 24 7 0
Harris 55 0 1596 972 58 18 0
Harris 56 0 552 630 34 9 0
Harris 57 0 1828 954 49 16 0
Harris 58 0 1836 1196 73 13 0
Harris 59 0 1530 899 29 19 1
Harris 60 0 1792 492 27 23 0
Harris 61 0 637 351 17 14 0
Harris 62 0 734 316 25 20 0
Harris 63 0 259 1005 18 9 0
Harris 64 0 800 282 27 20 0
Harris 65 0 694 274 23 16 0
Harris 66 0 386 155 8 7 0
Harris 67 0 1137 376 39 17 0
Harris 68 0 1753 101 44 27 0
Harris 69 0 464 129 12 10 0
Harris 70 0 1758 1822 52 11 0
Harris 71 0 2946 2311 118 24 0
Harris 72 0 864 403 34 17 0
Harris 73 0 773 710 34 10 0
Harris 74 0 819 2046 42 9 0
Harris 75 0 1013 681 43 10 0
Harris 76 0 752 762 21 15 0
Harris 77 0 2 3 1 0 0
Harris 78 0 604 301 23 17 0
Harris 79 0 953 397 31 21 0
Harris 80 0 1174 441 40 17 0
Harris 81 0 638 462 17 21 0
Harris 82 0 880 1678 62 19 0
Harris 83 0 1767 1008 48 24 0
Harris 84 0 263 661 19 5 0
Harris 85 0 962 61 15 10 0
Harris 86 0 2089 1418 99 26 1
Harris 87 0 1134 1288 15 8 0
Harris 88 0 223 492 20 6 0
Harris 89 0 569 530 5 5 0
Harris 90 0 921 2177 60 15 0
Harris 91 0 640 811 36 8 0
Harris 92 0 744 1095 29 11 0
Harris 93 0 1092 658 35 25 0
Harris 94 0 208 77 5 6 0
Harris 95 0 1321 1427 39 10 2
Harris 96 0 1203 312 30 25 0
Harris 97 0 992 2878 96 18 0
Harris 98 0 419 1915 46 8 0
Harris 99 0 543 484 21 17 0
Harris 100 0 444 408 19 11 0
Harris 101 0 261 93 7 5 0
Harris 102 0 526 263 19 20 0
Harris 103 0 2186 2061 66 30 0
Harris 104 0 1030 67 14 9 0
Harris 105 0 818 407 30 17 0
Harris 106 0 73 62 5 0 0
Harris 107 0 773 264 23 20 0
Harris 108 0 1082 999 52 26 0
Harris 109 0 1355 84 21 15 0
Harris 110 0 1229 1243 41 15 0
Harris 111 0 1616 3065 91 31 0
Harris 112 0 917 1411 56 21 0
Harris 113 0 1026 902 35 9 0
Harris 114 0 1225 2816 90 19 0
Harris 115 0 720 163 15 14 0
Harris 116 0 817 1893 25 6 0
Harris 117 0 644 369 30 16 0
Harris 118 0 1718 1332 47 22 0
Harris 119 0 1297 3065 90 28 2
Harris 120 0 1670 1851 82 19 0
Harris 121 0 273 476 17 7 0
Harris 122 0 911 90 12 10 0
Harris 123 0 902 264 19 11 0
Harris 124 0 1230 3511 90 19 0
Harris 125 0 893 883 39 23 0
Harris 126 0 657 2657 49 6 0
Harris 127 0 394 980 29 13 0
Harris 128 0 984 1045 14 6 0
Harris 129 0 1956 2161 57 32 0
Harris 130 0 597 1242 16 7 0
Harris 131 0 1053 319 30 23 0
Harris 132 0 1243 62 17 19 0
Harris 133 0 1238 1139 14 4 0
Harris 134 0 597 432 24 13 0
Harris 135 0 1171 1637 33 3 0
Harris 136 0 1232 98 32 19 0
Harris 137 0 711 1161 36 17 0
Harris 138 0 726 79 15 13 1
Harris 139 0 1945 1247 59 19 0
Harris 140 0 1967 384 48 24 0
Harris 141 0 167 255 12 6 0
Harris 142 0 307 154 8 5 0
Harris 143 0 1900 2361 58 20 0
Harris 144 0 499 31 11 9 0
Harris 145 0 713 34 10 7 0
Harris 146 0 1016 606 19 18 0
Harris 147 0 1581 294 39 21 0
Harris 148 0 1441 669 24 7 0
Harris 149 0 3557 3926 134 33 0
Harris 150 0 771 47 15 13 0
Harris 151 0 360 44 5 7 0
Harris 152 0 987 415 26 26 0
Harris 153 0 641 313 13 16 0
Harris 154 0 864 353 26 19 0
Harris 155 0 1370 1975 38 9 0
Harris 156 0 1855 129 26 24 0
Harris 157 0 1095 123 28 22 0
