DIST COUNTY AREA TOTAL DEM REP GRN LIB OTHER
DIST COUNTY AREA TOTAL Dem Rep Grn Lib Other
1 Bowie 10 0 0 279 0 0 0
1 Bowie 11 0 0 430 0 0 0
1 Bowie 12 0 0 577 0 0 0
1 Bowie 13 0 0 25 0 0 0
1 Bowie 14 0 0 354 0 0 0
1 Bowie 15 0 0 373 0 0 0
1 Bowie 16 0 0 944 0 0 0
1 Bowie 17 0 0 1125 0 0 0
1 Bowie 18 0 0 366 0 0 0
1 Bowie 19 0 0 597 0 0 0
1 Bowie 1A 0 0 278 0 0 0
1 Bowie 1B 0 0 418 0 0 0
1 Bowie 20 0 0 321 0 0 0
1 Bowie 21 0 0 154 0 0 0
1 Bowie 22 0 0 240 0 0 0
1 Bowie 24 0 0 389 0 0 0
1 Bowie 25 0 0 786 0 0 0
1 Bowie 27 0 0 462 0 0 0
1 Bowie 28 0 0 546 0 0 0
1 Bowie 29 0 0 235 0 0 0
1 Bowie 2A 0 0 350 0 0 0
1 Bowie 2B 0 0 160 0 0 0
1 Bowie 2C 0 0 291 0 0 0
1 Bowie 2D 0 0 20 0 0 0
1 Bowie 30 0 0 896 0 0 0
1 Bowie 3A 0 0 819 0 0 0
1 Bowie 3B 0 0 345 0 0 0
1 Bowie 4A 0 0 390 0 0 0
1 Bowie 4B 0 0 935 0 0 0
1 Bowie 4C 0 0 244 0 0 0
1 Bowie 4D 0 0 24 0 0 0
1 Bowie 4E 0 0 0 0 0 0
1 Bowie 5A 0 0 114 0 0 0
1 Bowie 5B 0 0 0 0 0 0
1 Bowie 5C 0 0 579 0 0 0
1 Bowie 6A 0 0 330 0 0 0
1 Bowie 6B 0 0 257 0 0 0
1 Bowie 7 0 0 573 0 0 0
1 Bowie 8A 0 0 305 0 0 0
1 Bowie 8B 0 0 564 0 0 0
1 Bowie 8C 0 0 818 0 0 0
1 Bowie 9 0 0 435 0 0 0
1 Franklin 101 0 0 700 0 0 0
1 Franklin 102 0 0 352 0 0 0
1 Franklin 201 0 0 379 0 0 0
1 Franklin 202 0 0 526 0 0 0
1 Franklin 301 0 0 499 0 0 0
1 Franklin 302 0 0 501 0 0 0
1 Franklin 401 0 0 787 0 0 0
1 Franklin 402 0 0 497 0 0 0
1 Lamar "PRECINCT 1A3B" 0 0 1370 0 0 0
1 Lamar "PRECINCT 1A5A" 0 0 605 0 0 0
1 Lamar "PRECINCT 1C" 0 0 246 0 0 0
1 Lamar "PRECINCT 1E" 0 0 486 0 0 0
1 Lamar "PRECINCT 1F" 0 0 888 0 0 0
1 Lamar "PRECINCT 1H" 0 0 425 0 0 0
1 Lamar "PRECINCT 1I" 0 0 225 0 0 0
1 Lamar "PRECINCT 2A1A" 0 0 328 0 0 0
1 Lamar "PRECINCT 2C3A" 0 0 1058 0 0 0
1 Lamar "PRECINCT 2D" 0 0 376 0 0 0
1 Lamar "PRECINCT 2E" 0 0 391 0 0 0
1 Lamar "PRECINCT 2F" 0 0 135 0 0 0
1 Lamar "PRECINCT 2G" 0 0 432 0 0 0
1 Lamar "PRECINCT 3C7G" 0 0 1516 0 0 0
1 Lamar "PRECINCT 3D" 0 0 519 0 0 0
1 Lamar "PRECINCT 3E" 0 0 834 0 0 0
1 Lamar "PRECINCT 3F" 0 0 405 0 0 0
1 Lamar "PRECINCT 3G" 0 0 369 0 0 0
1 Lamar "PRECINCT 3H3C" 0 0 388 0 0 0
1 Lamar "PRECINCT 3I" 0 0 862 0 0 0
1 Lamar "PRECINCT 4A6E" 0 0 821 0 0 0
1 Lamar "PRECINCT 4B" 0 0 888 0 0 0
1 Lamar "PRECINCT 4D" 0 0 899 0 0 0
1 Lamar "PRECINCT 4E" 0 0 952 0 0 0
1 Lamar "PRECINCT 4F" 0 0 1138 0 0 0
1 Lamar "PRECINCT 4G" 0 0 1237 0 0 0
1 "Red River" PCT 0 0 4859 0 0 0
2 Hopkins 1 0 143 722 0 0 0
2 Hopkins "1 - CITY SS" 0 156 472 0 0 0
2 Hopkins "1 - MGISD" 0 0 3 0 0 0
2 Hopkins 11 0 56 211 0 0 0
2 Hopkins "11 - CUMBY" 0 33 230 0 0 0
2 Hopkins 12 0 30 187 0 0 0
2 Hopkins 13 0 127 534 0 0 0
2 Hopkins 14 0 103 616 0 0 0
2 Hopkins 16 0 10 94 0 0 0
2 Hopkins "16 - MGISD" 0 74 630 0 0 0
2 Hopkins 17 0 14 72 0 0 0
2 Hopkins "17 - NHISD" 0 126 635 0 0 0
2 Hopkins 1A 0 3 11 0 0 0
2 Hopkins "1A - CITY SS" 0 246 933 0 0 0
2 Hopkins 2 0 90 507 0 0 0
2 Hopkins "2 - CITY SS" 0 174 222 0 0 0
2 Hopkins 20 0 50 384 0 0 0
2 Hopkins 23 0 23 200 0 0 0
2 Hopkins 24 0 59 456 0 0 0
2 Hopkins "24 - NHISD" 0 5 21 0 0 0
2 Hopkins 25 0 29 233 0 0 0
2 Hopkins "25 - MGISD" 0 6 35 0 0 0
2 Hopkins 2A 0 33 192 0 0 0
2 Hopkins "2A - CITY SS" 0 304 198 0 0 0
2 Hopkins 3 0 77 311 0 0 0
2 Hopkins "3 - CITY SS" 0 225 569 0 0 0
2 Hopkins 36 0 78 574 0 0 0
2 Hopkins "36 - MGISD" 0 0 12 0 0 0
2 Hopkins 3A 0 65 309 0 0 0
2 Hopkins "3A - CITY SS" 0 171 473 0 0 0
2 Hopkins "3A - NHISD" 0 3 57 0 0 0
2 Hopkins 4 0 62 445 0 0 0
2 Hopkins "4 - CITY SS" 0 73 242 0 0 0
2 Hopkins "4 - NHISD" 0 21 140 0 0 0
2 Hopkins 4A 0 4 11 0 0 0
2 Hopkins "4A - CITY SS" 0 258 894 0 0 0
2 Hopkins 5 0 48 318 0 0 0
2 Hopkins 8 0 40 167 0 0 0
2 Hunt 101 0 69 455 0 0 0
2 Hunt "101 CCL" 0 39 240 0 0 0
2 Hunt "101 SWC" 0 0 0 0 0 0
2 Hunt 102 0 6 55 0 0 0
2 Hunt "102 SWC" 0 152 670 0 0 0
2 Hunt 103 0 54 404 0 0 0
2 Hunt "103 SWC" 0 19 42 0 0 0
2 Hunt 104 0 57 374 0 0 0
2 Hunt "104 CGR6" 0 15 16 0 0 0
2 Hunt "104 SGR5" 0 41 183 0 0 0
2 Hunt "104 SWC" 0 0 2 0 0 0
2 Hunt 105 0 3 5 0 0 0
2 Hunt "105 CGR4" 0 51 127 0 0 0
2 Hunt "105 CGR4 SGR5" 0 64 163 0 0 0
2 Hunt "105 CGR6" 0 6 11 0 0 0
2 Hunt 106 0 7 11 0 0 0
2 Hunt "106 CGR2" 0 37 65 0 0 0
2 Hunt "106 CGR2 SGR2" 0 2 3 0 0 0
2 Hunt "106 CGR3 SGR2" 0 132 382 0 0 0
2 Hunt "106 CGR5" 0 141 84 0 0 0
2 Hunt "106 CGR5 SGR2" 0 129 180 0 0 0
2 Hunt 107 0 6 8 0 0 0
2 Hunt "107 CGR1" 0 4 8 0 0 0
2 Hunt "107 CGR1 SGR4" 0 186 475 0 0 0
2 Hunt "107 CGR2" 0 97 313 0 0 0
2 Hunt "107 CGR2 SGR2" 0 58 166 0 0 0
2 Hunt "107 CGR2 SGR4" 0 54 90 0 0 0
2 Hunt "107 CGR3" 0 27 44 0 0 0
2 Hunt "107 CGR3 SGR2" 0 21 58 0 0 0
2 Hunt "107 CGR3 SGR4" 0 67 182 0 0 0
2 Hunt 108 0 11 4 0 0 0
2 Hunt "108 CGR1 SGR4" 0 10 31 0 0 0
2 Hunt "108 CGR2" 0 116 253 0 0 0
2 Hunt "108 CGR4" 0 98 181 0 0 0
2 Hunt "108 CGR4 SGR5" 0 29 62 0 0 0
2 Hunt "108 CGR5" 0 42 63 0 0 0
2 Hunt 109 0 136 746 0 0 0
2 Hunt 210 0 74 225 0 0 0
2 Hunt "210 CGR5 SGR2" 0 1 4 0 0 0
2 Hunt "210 SCM" 0 19 131 0 0 0
2 Hunt "210 SGR2" 0 9 24 0 0 0
2 Hunt 211 0 1 0 0 0 0
2 Hunt "211 CGR1 SGR3" 0 2 7 0 0 0
2 Hunt "211 CGR1 SGR4" 0 2 18 0 0 0
2 Hunt "211 CGR2 SGR2" 0 1 1 0 0 0
2 Hunt "211 CGR3 SGR2" 0 15 57 0 0 0
2 Hunt "211 CGR3 SGR4" 0 2 3 0 0 0
2 Hunt "211 SCM" 0 22 68 0 0 0
2 Hunt "211 SGR2" 0 8 22 0 0 0
2 Hunt "211 SGR3" 0 39 175 0 0 0
2 Hunt "211 SGR4" 0 4 9 0 0 0
2 Hunt 212 0 2 4 0 0 0
2 Hunt "212 CGR1 SGR3" 0 90 303 0 0 0
2 Hunt "212 CGR1 SGR4" 0 15 27 0 0 0
2 Hunt "212 CGR3 SGR2" 0 38 69 0 0 0
2 Hunt "212 CGR3 SGR4" 0 73 184 0 0 0
2 Hunt 213 0 20 111 0 0 0
2 Hunt "213 SBH" 0 0 1 0 0 0
2 Hunt "213 SCM" 0 45 349 0 0 0
2 Hunt "213 SGR3" 0 15 161 0 0 0
2 Hunt 214 0 228 1312 0 0 0
2 Hunt "214 CQL" 0 66 380 0 0 0
2 Hunt "214 SBH" 0 16 40 0 0 0
2 Hunt "214 SCM" 0 4 11 0 0 0
2 Hunt "214 SRC" 0 16 188 0 0 0
2 Hunt 215 0 15 50 0 0 0
2 Hunt "215 CCM SCM" 0 89 544 0 0 0
2 Hunt "215 CJO" 0 1 18 0 0 0
2 Hunt "215 SCM" 0 326 2152 0 0 0
2 Hunt "215 SGR2" 0 1 14 0 0 0
2 Hunt "215 SRC" 0 352 931 0 0 0
2 Hunt 216 0 69 444 0 0 0
2 Hunt "216 SRC" 0 192 949 0 0 0
2 Hunt 217 0 86 465 0 0 0
2 Hunt "217 SRC" 0 3 24 0 0 0
2 Hunt "217 TPT" 0 84 482 0 0 0
2 Hunt 318 0 47 374 0 0 0
2 Hunt "318 SGR3" 0 1 6 0 0 0
2 Hunt "318 SGR5" 0 1 9 0 0 0
2 Hunt "318 SLO" 0 9 61 0 0 0
2 Hunt 319 0 1 6 0 0 0
2 Hunt "319 SLO" 0 157 1091 0 0 0
2 Hunt 320 0 162 696 0 0 0
2 Hunt "320 CHC" 0 2 7 0 0 0
2 Hunt "320 CQL" 0 0 1 0 0 0
