DIST COUNTY AREA TOTAL DEM REP LIB OTHER
DIST COUNTY AREA TOTAL Dem Rep Lib Other
1 Bowie 10 0 250 1154 0 0
1 Bowie 11 0 250 410 0 0
1 Bowie 12 0 237 549 0 0
1 Bowie 13 0 17 22 0 0
1 Bowie 14 0 575 314 0 0
1 Bowie 15 0 46 349 0 0
1 Bowie 16 0 87 903 0 0
1 Bowie 17 0 153 1052 0 0
1 Bowie 18 0 287 322 0 0
1 Bowie 19 0 34 583 0 0
1 Bowie 1A 0 478 81 0 0
1 Bowie 1B 0 444 205 0 0
1 Bowie 20 0 145 273 0 0
1 Bowie 21 0 37 135 0 0
1 Bowie 22 0 40 226 0 0
1 Bowie 24 0 39 372 0 0
1 Bowie 25 0 146 701 0 0
1 Bowie 27 0 21 462 0 0
1 Bowie 28 0 37 528 0 0
1 Bowie 29 0 28 230 0 0
1 Bowie 2A 0 496 151 0 0
1 Bowie 2B 0 150 76 0 0
1 Bowie 2C 0 517 83 0 0
1 Bowie 2D 0 16 12 0 0
1 Bowie 30 0 177 806 0 0
1 Bowie 3A 0 352 610 0 0
1 Bowie 3B 0 276 230 0 0
1 Bowie 4A 0 302 237 0 0
1 Bowie 4B 0 414 709 0 0
1 Bowie 4C 0 193 137 0 0
1 Bowie 4D 0 11 21 0 0
1 Bowie 4E 0 0 0 0 0
1 Bowie 5A 0 57 87 0 0
1 Bowie 5B 0 1 0 0 0
1 Bowie 5C 0 705 511 0 0
1 Bowie 6A 0 438 1144 0 0
1 Bowie 6B 0 367 220 0 0
1 Bowie 7 0 884 469 0 0
1 Bowie 8A 0 292 196 0 0
1 Bowie 8B 0 531 525 0 0
1 Bowie 8C 0 155 732 0 0
1 Bowie 9 0 643 1284 0 0
1 Camp 1001 0 320 917 0 0
1 Camp 2002 0 265 1199 0 0
1 Camp 3003 0 426 578 0 0
1 Camp 4004 0 282 947 0 0
1 Cass "Precinct 1" 0 0 0 0 2130
1 Cass "Precinct 11" 0 0 0 0 467
1 Cass "Precinct 12" 0 0 0 0 619
1 Cass "Precinct 13T" 0 0 0 0 993
1 Cass "Precinct 14" 0 0 0 0 1503
1 Cass "Precinct 15" 0 0 0 0 426
1 Cass "Precinct 16" 0 0 0 0 359
1 Cass "Precinct 17" 0 0 0 0 2274
1 Cass "Precinct 18" 0 0 0 0 394
1 Cass "Precinct 19" 0 0 0 0 341
1 Cass "Precinct 2" 0 0 0 0 307
1 Cass "Precinct 20E" 0 0 0 0 165
1 Cass "Precinct 21" 0 0 0 0 209
1 Cass "Precinct 4" 0 0 0 0 300
1 Cass "Precinct 5" 0 0 0 0 587
1 Cass "Precinct 6" 0 0 0 0 383
1 Cass "Precinct 7" 0 0 0 0 1333
1 Cass "Precinct 9" 0 0 0 0 719
1 Franklin 101 0 128 671 0 0
1 Franklin 102 0 34 358 0 0
1 Franklin 201 0 47 380 0 0
1 Franklin 202 0 140 472 0 0
1 Franklin 301 0 75 492 0 0
1 Franklin 302 0 87 497 0 0
1 Franklin 401 0 142 739 0 0
1 Franklin 402 0 84 480 0 0
1 Gregg 01~01 0 1 1 0 0
1 Gregg 01~02 0 45 187 0 0
1 Gregg 01~03 0 44 132 0 0
1 Gregg 01~04 0 86 109 0 0
1 Gregg 01~05 0 165 395 0 0
1 Gregg 02~01 0 430 1202 0 0
1 Gregg 02~02 0 1 17 0 0
1 Gregg 02~03 0 107 272 0 0
1 Gregg 02~04 0 193 470 0 0
1 Gregg 03~01 0 2 8 0 0
1 Gregg 03~02 0 675 1718 0 0
1 Gregg 03~04 0 2 5 0 0
1 Gregg 04~01 0 1 1 0 0
1 Gregg 04~02 0 78 181 0 0
1 Gregg 04~03 0 447 1791 0 0
1 Gregg 04~04 0 0 0 0 0
1 Gregg 05~01 0 268 1268 0 0
1 Gregg 05~02 0 207 662 0 0
1 Gregg 05~03 0 7 50 0 0
1 Gregg 05~04 0 81 73 0 0
1 Gregg 05~06 0 4 66 0 0
1 Gregg 06~03 0 268 1536 0 0
1 Gregg 07~01 0 398 1920 0 0
1 Gregg 07~02 0 6 6 0 0
1 Gregg 08~02 0 52 59 0 0
1 Gregg 08~03 0 118 364 0 0
1 Gregg 08~04 0 35 130 0 0
1 Gregg 08~05 0 265 973 0 0
1 Gregg 08~06 0 290 641 0 0
1 Gregg 08~07 0 46 102 0 0
1 Gregg 09~01 0 117 185 0 0
1 Gregg 09~02 0 87 65 0 0
1 Gregg 09~03 0 252 492 0 0
1 Gregg 09~04 0 368 1364 0 0
1 Gregg 10~01 0 486 845 0 0
1 Gregg 10~03 0 360 648 0 0
1 Gregg 10~06 0 24 85 0 0
1 Gregg 10~07 0 57 93 0 0
1 Gregg 10~08 0 0 1 0 0
1 Gregg 10~09 0 0 3 0 0
1 Gregg 10~10 0 0 0 0 0
1 Gregg 11~06 0 473 1393 0 0
1 Gregg 11~08 0 155 620 0 0
1 Gregg 11~09 0 65 153 0 0
1 Gregg 12~04 0 19 76 0 0
1 Gregg 12~05 0 16 80 0 0
1 Gregg 12~07 0 307 2534 0 0
1 Gregg 12~08 0 38 179 0 0
1 Gregg 13~01 0 14 92 0 0
1 Gregg 13~02 0 348 806 0 0
1 Gregg 13~03 0 20 114 0 0
1 Gregg 13~04 0 26 242 0 0
1 Gregg 13~06 0 20 235 0 0
1 Gregg 14~03 0 45 232 0 0
1 Gregg 14~04 0 19 67 0 0
1 Gregg 14~05 0 393 2396 0 0
1 Gregg 15~01 0 147 288 0 0
1 Gregg 15~02 0 12 28 0 0
1 Gregg 15~03 0 98 271 0 0
1 Gregg 15~04 0 3 1 0 0
1 Gregg 16~01 0 40 319 0 0
1 Gregg 16~02 0 394 1843 0 0
1 Gregg 16~03 0 21 165 0 0
1 Gregg 16~04 0 14 10 0 0
1 Gregg 17~01 0 15 85 0 0
1 Gregg 17~02 0 230 174 0 0
1 Gregg 17~04 0 0 2 0 0
1 Gregg 17~05 0 2 18 0 0
1 Gregg 18~01 0 1 2 0 0
1 Gregg 18~02 0 91 49 0 0
1 Gregg 18~03 0 1 4 0 0
1 Gregg 18~04 0 312 821 0 0
1 Gregg 18~05 0 221 72 0 0
1 Gregg 18~06 0 74 8 0 0
1 Gregg 18~07 0 425 171 0 0
1 Gregg 19~01 0 290 48 0 0
1 Gregg 19~03 0 264 82 0 0
1 Gregg 19~04 0 0 0 0 0
1 Gregg 19~05 0 950 151 0 0
1 Gregg 19~06 0 121 41 0 0
1 Gregg 19~07 0 3 0 0 0
1 Gregg 20~01 0 112 63 0 0
1 Gregg 20~04 0 27 17 0 0
1 Gregg 20~05 0 97 52 0 0
1 Gregg 20~06 0 56 42 0 0
1 Gregg 20~07 0 81 56 0 0
1 Gregg 20~08 0 683 181 0 0
1 Gregg 20~09 0 29 36 0 0
1 Gregg 21~01 0 148 124 0 0
1 Gregg 21~02 0 124 102 0 0
1 Gregg 21~03 0 97 85 0 0
1 Gregg 21~05 0 7 7 0 0
1 Gregg 21~06 0 54 27 0 0
1 Gregg 21~07 0 620 158 0 0
1 Gregg 21~10 0 0 0 0 0
1 Harrison "Precinct 1" 0 0 0 0 1466
1 Harrison "Precinct 10" 0 0 0 0 780
1 Harrison "Precinct 11" 0 0 0 0 344
1 Harrison "Precinct 12" 0 0 0 0 3640
1 Harrison "Precinct 13" 0 0 0 0 1114
1 Harrison "Precinct 14" 0 0 0 0 973
1 Harrison "Precinct 15" 0 0 0 0 826
1 Harrison "Precinct 16" 0 0 0 0 450
1 Harrison "Precinct 17" 0 0 0 0 1048
1 Harrison "Precinct 18" 0 0 0 0 595
1 Harrison "Precinct 19" 0 0 0 0 2407
1 Harrison "Precinct 2" 0 0 0 0 1064
1 Harrison "Precinct 20" 0 0 0 0 1678
1 Harrison "Precinct 21" 0 0 0 0 522
1 Harrison "Precinct 22" 0 0 0 0 978
1 Harrison "Precinct 23" 0 0 0 0 438
1 Harrison "Precinct 24" 0 0 0 0 434
1 Harrison "Precinct 25" 0 0 0 0 2663
1 Harrison "Precinct 26" 0 0 0 0 375
1 Harrison "Precinct 3" 0 0 0 0 950
1 Harrison "Precinct 4" 0 0 0 0 1085
1 Harrison "Precinct 5" 0 0 0 0 675
1 Harrison "Precinct 6" 0 0 0 0 1134
1 Harrison "Precinct 7" 0 0 0 0 627
1 Harrison "Precinct 8" 0 0 0 0 1801
1 Harrison "Precinct 9" 0 0 0 0 1028
1 Lamar "PRECINCT 1A3B" 0 337 1260 0 0
1 Lamar "PRECINCT 1A5A" 0 334 477 0 0
1 Lamar "PRECINCT 1C" 0 29 240 0 0
1 Lamar "PRECINCT 1E" 0 73 471 0 0
1 Lamar "PRECINCT 1F" 0 79 864 0 0
1 Lamar "PRECINCT 1H" 0 40 412 0 0
1 Lamar "PRECINCT 1I" 0 18 224 0 0
1 Lamar "PRECINCT 2A1A" 0 404 203 0 0
1 Lamar "PRECINCT 2C3A" 0 725 794 0 0
1 Lamar "PRECINCT 2D" 0 81 356 0 0
1 Lamar "PRECINCT 2E" 0 58 360 0 0
1 Lamar "PRECINCT 2F" 0 18 134 0 0
1 Lamar "PRECINCT 2G" 0 70 414 0 0
1 Lamar "PRECINCT 3C7G" 0 564 1284 0 0
1 Lamar "PRECINCT 3D" 0 53 514 0 0
1 Lamar "PRECINCT 3E" 0 60 822 0 0
1 Lamar "PRECINCT 3F" 0 47 383 0 0
1 Lamar "PRECINCT 3G" 0 51 347 0 0
1 Lamar "PRECINCT 3H3C" 0 126 336 0 0
1 Lamar "PRECINCT 3I" 0 108 823 0 0
1 Lamar "PRECINCT 4A6E" 0 253 713 0 0
1 Lamar "PRECINCT 4B" 0 131 883 0 0
1 Lamar "PRECINCT 4D" 0 63 896 0 0
1 Lamar "PRECINCT 4E" 0 118 927 0 0
1 Lamar "PRECINCT 4F" 0 167 1070 0 0
1 Lamar "PRECINCT 4G" 0 178 1203 0 0
1 Marion 1.0 0 121 296 0 0
1 Marion 10.0 0 91 189 0 0
1 Marion 2.0 0 140 649 0 0
1 Marion 3.0 0 81 334 0 0
1 Marion 4.0 0 115 239 0 0
1 Marion 5.0 0 109 421 0 0
1 Marion 6.0 0 182 394 0 0
1 Marion 7.0 0 237 235 0 0
1 Marion 8.0 0 140 483 0 0
1 Marion 9.0 0 57 213 0 0
1 Morris "Precinct 101" 0 272 103 0 0
1 Morris "Precinct 102" 0 157 98 0 0
1 Morris "Precinct 103" 0 152 335 0 0
1 Morris "Precinct 202" 0 130 598 0 0
1 Morris "Precinct 203" 0 174 416 0 0
1 Morris "Precinct 302" 0 203 497 0 0
1 Morris "Precinct 303" 0 132 637 0 0
1 Morris "Precinct 401" 0 374 1054 0 0
1 Panola 1 0 0 0 0 1323
1 Panola 10 0 0 0 0 232
1 Panola 12 0 0 0 0 303
1 Panola 13 0 0 0 0 226
1 Panola 14 0 0 0 0 327
1 Panola 18 0 0 0 0 1478
1 Panola 19 0 0 0 0 251
1 Panola 2 0 0 0 0 1499
1 Panola 20 0 0 0 0 251
1 Panola 22 0 0 0 0 235
1 Panola 26 0 0 0 0 131
1 Panola 27 0 0 0 0 675
1 Panola 28 0 0 0 0 1466
1 Panola 29 0 0 0 0 245
1 Panola 3 0 0 0 0 954
1 Panola 5 0 0 0 0 350
1 Panola 7 0 0 0 0 531
1 Panola 8 0 0 0 0 172
1 Panola 9 0 0 0 0 499
1 "Red River" PCT 0 1176 4423 0 0
1 Rusk "PCT 111" 0 104 543 0 0
1 Rusk "PCT 112" 0 225 1085 0 0
1 Rusk "PCT 113" 0 385 1668 0 0
1 Rusk "PCT 114" 0 198 870 0 0
1 Rusk "PCT 201" 0 154 480 0 0
1 Rusk "PCT 212" 0 94 533 0 0
1 Rusk "PCT 213" 0 230 1160 0 0
1 Rusk "PCT 214" 0 395 1410 0 0
1 Rusk "PCT 215" 0 391 1201 0 0
1 Rusk "PCT 302" 0 296 356 0 0
1 Rusk "PCT 303" 0 418 485 0 0
1 Rusk "PCT 314" 0 99 684 0 0
1 Rusk "PCT 315" 0 60 563 0 0
1 Rusk "PCT 316" 0 34 300 0 0
1 Rusk "PCT 317" 0 162 252 0 0
1 Rusk "PCT 318" 0 144 620 0 0
1 Rusk "PCT 319" 0 96 157 0 0
1 Rusk "PCT 404" 0 197 1003 0 0
1 Rusk "PCT 405" 0 164 721 0 0
1 Rusk "PCT 416" 0 105 535 0 0
1 Rusk "PCT 417" 0 205 771 0 0
1 Rusk "PCT 418" 0 247 1273 0 0
1 Smith 1 0 149 101 0 0
1 Smith 10 0 976 1048 0 0
1 Smith 11 0 745 219 0 0
1 Smith 12 0 795 143 0 0
1 Smith 13 0 818 48 0 0
1 Smith 14 0 409 820 0 0
1 Smith 15 0 453 3171 0 0
1 Smith 16 0 613 123 0 0
1 Smith 17 0 77 640 0 0
1 Smith 18 0 641 65 0 0
1 Smith 19 0 501 3035 0 0
1 Smith 2 0 296 110 0 0
1 Smith 20 0 194 114 0 0
1 Smith 21 0 302 885 0 0
1 Smith 22 0 124 71 0 0
1 Smith 23 0 490 1138 0 0
1 Smith 25 0 369 1216 0 0
1 Smith 26 0 326 1634 0 0
1 Smith 27 0 456 813 0 0
1 Smith 28 0 495 2345 0 0
1 Smith 29 0 326 1073 0 0
1 Smith 3 0 493 1253 0 0
1 Smith 30 0 539 2784 0 0
1 Smith 31 0 477 2492 0 0
1 Smith 32 0 433 1733 0 0
1 Smith 34 0 568 189 0 0
1 Smith 35 0 926 761 0 0
1 Smith 36 0 1238 412 0 0
1 Smith 37 0 260 1133 0 0
1 Smith 38 0 614 1241 0 0
1 Smith 39 0 158 80 0 0
1 Smith 4 0 478 571 0 0
1 Smith 40 0 611 3189 0 0
1 Smith 41 0 457 2618 0 0
1 Smith 42 0 570 2474 0 0
1 Smith 43 0 200 464 0 0
1 Smith 44 0 941 1608 0 0
1 Smith 45 0 92 900 0 0
1 Smith 46 0 198 549 0 0
1 Smith 47 0 101 190 0 0
1 Smith 48 0 110 164 0 0
1 Smith 49 0 80 68 0 0
1 Smith 5 0 436 2801 0 0
1 Smith 50 0 439 1389 0 0
1 Smith 52 0 261 1369 0 0
1 Smith 54 0 612 1644 0 0
1 Smith 55 0 1253 2220 0 0
1 Smith 56 0 625 1780 0 0
1 Smith 58 0 591 1924 0 0
1 Smith 59 0 630 2009 0 0
1 Smith 6 0 105 588 0 0
1 Smith 60 0 177 182 0 0
1 Smith 61 0 604 784 0 0
1 Smith 63 0 39 12 0 0
1 Smith 64 0 45 55 0 0
1 Smith 65 0 51 48 0 0
1 Smith 66 0 195 234 0 0
1 Smith 7 0 313 957 0 0
1 Smith 70 0 110 231 0 0
1 Smith 71 0 676 2648 0 0
1 Smith 72 0 55 91 0 0
1 Smith 73 0 187 202 0 0
1 Smith 74 0 68 328 0 0
1 Smith 75 0 294 2147 0 0
1 Smith 76 0 217 126 0 0
1 Smith 77 0 119 120 0 0
1 Smith 78 0 22 79 0 0
1 Smith 79 0 570 2133 0 0
1 Smith 8 0 207 791 0 0
1 Smith 80 0 2 11 0 0
1 Smith 81 0 92 68 0 0
1 Smith 82 0 23 35 0 0
1 Smith 9 0 117 63 0 0
1 Titus 1 0 230 81 0 0
1 Titus 10 0 73 582 0 0
1 Titus 11 0 24 94 0 0
1 Titus 12 0 27 168 0 0
1 Titus 14 0 374 623 0 0
1 Titus 15 0 81 441 0 0
1 Titus 16 0 361 1244 0 0
1 Titus 17 0 164 113 0 0
1 Titus 18 0 30 110 0 0
1 Titus 19 0 157 304 0 0
1 Titus 2 0 124 273 0 0
1 Titus 20 0 259 638 0 0
1 Titus 3 0 82 359 0 0
1 Titus 4 0 86 422 0 0
1 Titus 5 0 21 197 0 0
1 Titus 6 0 113 722 0 0
1 Titus 7 0 133 643 0 0
1 Titus 8 0 299 282 0 0
1 Titus 9 0 63 215 0 0
1 Upshur 1 0 210 1352 0 0
1 Upshur 10 0 163 1462 0 0
1 Upshur 11 0 92 392 0 0
1 Upshur 12 0 78 658 0 0
1 Upshur 13 0 133 513 0 0
1 Upshur 14 0 50 319 0 0
1 Upshur 15 0 102 1252 0 0
1 Upshur 16 0 216 808 0 0
1 Upshur 17 0 361 1020 0 0
1 Upshur 18 0 124 264 0 0
1 Upshur 19 0 3 4 0 0
1 Upshur 2 0 120 1577 0 0
1 Upshur 20 0 8 101 0 0
1 Upshur 21 0 0 0 0 0
1 Upshur 3 0 129 924 0 0
1 Upshur 4 0 134 716 0 0
1 Upshur 5 0 101 402 0 0
1 Upshur 6 0 143 896 0 0
1 Upshur 7 0 243 1417 0 0
1 Upshur 8 0 108 549 0 0
1 Upshur 9 0 222 1098 0 0
1 Wood 1~1 0 0 0 0 2163
1 Wood 1~2 0 0 0 0 1920
1 Wood 1~3 0 0 0 0 1613
1 Wood 1~4 0 0 0 0 541
1 Wood 2~1 0 0 0 0 348
1 Wood 2~2 0 0 0 0 2667
1 Wood 2~3 0 0 0 0 2138
1 Wood 3~1 0 0 0 0 890
1 Wood 3~2 0 0 0 0 2450
1 Wood 3~3 0 0 0 0 2399
1 Wood 4~1 0 0 0 0 572
1 Wood 4~2 0 0 0 0 1875
1 Wood 4~3 0 0 0 0 2139
1 Wood 4~4 0 0 0 0 471
4 Chambers Federal 0 0 0 0 0
4 Chambers "Precinct 1 - Wallisville - A" 0 65 386 9 0
4 Chambers "Precinct 10 - Goss Library - A" 0 499 3253 99 0
4 Chambers "Precinct 11 - Cedar Bayou Annex - A" 0 2 30 0 0
4 Chambers "Precinct 11 - Cedar Bayou Annex - B" 0 350 1103 43 0
4 Chambers "Precinct 12 - Stowell - A" 0 0 3 0 0
4 Chambers "Precinct 12 - Stowell - B" 0 186 428 13 0
4 Chambers "Precinct 12 - Stowell - C" 0 0 5 0 0
4 Chambers "Precinct 12 - Stowell - D" 0 45 250 1 0
4 Chambers "Precinct 14 - Anahuac Airport - A" 0 41 263 7 0
4 Chambers "Precinct 14 - Anahuac Airport - B" 0 2 12 0 0
4 Chambers "Precinct 14 - Anahuac Airport - C" 0 0 8 0 0
4 Chambers "Precinct 15 - Baytown-Kilgore - A" 0 38 72 1 0
4 Chambers "Precinct 15 - Baytown-Kilgore - B" 0 438 681 37 0
4 Chambers "Precinct 15 - Baytown-Kilgore - C" 0 134 241 13 0
4 Chambers "Precinct 2 - Hankamer - A" 0 123 261 12 0
4 Chambers "Precinct 2 - Hankamer - B" 0 8 73 1 0
4 Chambers "Precinct 3 - Pine Island - A" 0 103 179 8 0
4 Chambers "Precinct 3 - Pine Island - B" 0 1 11 0 0
4 Chambers "Precinct 4 - Mont Belvieu - A" 0 325 2516 81 0
4 Chambers "Precinct 5 - Beach City - A" 0 207 1611 46 0
4 Chambers "Precinct 5 - Beach City - B" 0 0 0 0 0
4 Chambers "Precinct 6 - Anahuac - A" 0 224 620 26 0
4 Chambers "Precinct 6 - Anahuac - B" 0 22 206 2 0
4 Chambers "Precinct 6 - Anahuac - C" 0 60 272 10 0
4 Chambers "Precinct 7 - Winnie - A" 0 55 354 9 0
4 Chambers "Precinct 7 - Winnie - B" 0 125 735 16 0
4 Chambers "Precinct 7 - Winnie - C" 0 19 152 4 0
4 Chambers "Precinct 8 - Cove - A" 0 433 3012 78 0
4 Chambers "Precinct 8 - Cove - B" 0 0 0 0 0
4 Chambers "Precinct 9 - Oak Island - A" 0 27 224 4 0
4 Galveston 103 0 148 827 23 0
4 Galveston 104 0 122 613 8 0
4 Harris 1008 0 201 753 17 0
4 Harris 103 0 2124 2048 112 0
4 Harris 199 0 800 2103 81 0
4 Harris 340 0 875 1974 99 0
4 Harris 351 0 1038 2769 77 0
4 Harris 357 0 802 1836 76 0
4 Harris 452 0 1334 2176 102 0
4 Harris 459 0 808 2166 77 0
4 Harris 469 0 607 1819 56 0
4 Harris 502 0 357 1474 40 0
4 Harris 531 0 401 1235 26 0
4 Harris 546 0 392 1591 38 0
4 Harris 563 0 692 1758 46 0
4 Harris 590 0 449 1201 47 0
4 Harris 604 0 397 2149 58 0
4 Harris 612 0 690 1804 64 0
4 Harris 635 0 692 1634 90 0
4 Harris 636 0 452 3321 107 0
4 Harris 658 0 818 1084 75 0
4 Harris 659 0 1294 2558 98 0
4 Harris 670 0 624 1934 52 0
4 Harris 674 0 1105 2300 95 0
4 Harris 700 0 176 967 17 0
4 Harris 735 0 238 295 17 0
4 Harris 758 0 934 2522 67 0
4 Harris 760 0 359 1247 41 0
4 Harris 955 0 2097 4207 109 0
4 Harris 97 0 942 2882 113 0
4 Harris 98 0 386 1913 68 0
4 Harris 988 0 9 68 1 0
4 Jefferson 1 0 0 0 0 952
4 Jefferson 10 0 0 0 0 329
4 Jefferson 100 0 0 0 0 2137
4 Jefferson 101 0 0 0 0 0
4 Jefferson 102 0 0 0 0 118
4 Jefferson 103 0 0 0 0 22
4 Jefferson 104 0 0 0 0 55
4 Jefferson 105 0 0 0 0 137
4 Jefferson 106 0 0 0 0 22
4 Jefferson 107 0 0 0 0 1
4 Jefferson 108 0 0 0 0 356
4 Jefferson 109 0 0 0 0 181
4 Jefferson 11 0 0 0 0 206
4 Jefferson 110 0 0 0 0 87
4 Jefferson 12 0 0 0 0 264
4 Jefferson 13 0 0 0 0 197
4 Jefferson 14 0 0 0 0 749
4 Jefferson 15 0 0 0 0 668
4 Jefferson 16 0 0 0 0 223
4 Jefferson 17 0 0 0 0 1749
4 Jefferson 18 0 0 0 0 849
4 Jefferson 19 0 0 0 0 798
4 Jefferson 2 0 0 0 0 576
4 Jefferson 20 0 0 0 0 604
4 Jefferson 21 0 0 0 0 162
4 Jefferson 22 0 0 0 0 2769
4 Jefferson 23 0 0 0 0 1440
4 Jefferson 24 0 0 0 0 371
4 Jefferson 25 0 0 0 0 1600
4 Jefferson 26 0 0 0 0 1927
4 Jefferson 27 0 0 0 0 876
4 Jefferson 28 0 0 0 0 583
4 Jefferson 29 0 0 0 0 1461
4 Jefferson 3 0 0 0 0 1042
4 Jefferson 30 0 0 0 0 831
4 Jefferson 31 0 0 0 0 908
4 Jefferson 32 0 0 0 0 157
4 Jefferson 33 0 0 0 0 1419
4 Jefferson 34 0 0 0 0 1016
4 Jefferson 35 0 0 0 0 671
4 Jefferson 36 0 0 0 0 1050
4 Jefferson 37 0 0 0 0 1694
4 Jefferson 38 0 0 0 0 1510
4 Jefferson 39 0 0 0 0 1076
4 Jefferson 4 0 0 0 0 1083
4 Jefferson 40 0 0 0 0 2044
4 Jefferson 41 0 0 0 0 106
4 Jefferson 42 0 0 0 0 1655
4 Jefferson 43 0 0 0 0 1536
4 Jefferson 44 0 0 0 0 435
4 Jefferson 45 0 0 0 0 662
4 Jefferson 46 0 0 0 0 591
4 Jefferson 47 0 0 0 0 751
4 Jefferson 48 0 0 0 0 449
4 Jefferson 49 0 0 0 0 233
4 Jefferson 5 0 0 0 0 1012
4 Jefferson 50 0 0 0 0 1236
4 Jefferson 51 0 0 0 0 209
4 Jefferson 52 0 0 0 0 257
4 Jefferson 53 0 0 0 0 729
4 Jefferson 54 0 0 0 0 267
4 Jefferson 55 0 0 0 0 207
4 Jefferson 56 0 0 0 0 2306
4 Jefferson 57 0 0 0 0 404
4 Jefferson 58 0 0 0 0 38
4 Jefferson 59 0 0 0 0 552
4 Jefferson 6 0 0 0 0 705
4 Jefferson 60 0 0 0 0 2063
4 Jefferson 61 0 0 0 0 1027
4 Jefferson 62 0 0 0 0 1894
4 Jefferson 63 0 0 0 0 748
4 Jefferson 64 0 0 0 0 475
4 Jefferson 65 0 0 0 0 1349
4 Jefferson 66 0 0 0 0 1009
4 Jefferson 67 0 0 0 0 1255
4 Jefferson 68 0 0 0 0 1615
4 Jefferson 69 0 0 0 0 2156
4 Jefferson 7 0 0 0 0 874
4 Jefferson 70 0 0 0 0 1349
4 Jefferson 71 0 0 0 0 65
4 Jefferson 72 0 0 0 0 1619
4 Jefferson 73 0 0 0 0 1746
4 Jefferson 74 0 0 0 0 1938
4 Jefferson 75 0 0 0 0 422
4 Jefferson 76 0 0 0 0 443
4 Jefferson 77 0 0 0 0 721
4 Jefferson 78 0 0 0 0 1177
4 Jefferson 79 0 0 0 0 1483
4 Jefferson 8 0 0 0 0 368
4 Jefferson 80 0 0 0 0 7
4 Jefferson 81 0 0 0 0 406
4 Jefferson 82 0 0 0 0 1431
4 Jefferson 83 0 0 0 0 832
4 Jefferson 84 0 0 0 0 664
4 Jefferson 85 0 0 0 0 815
4 Jefferson 86 0 0 0 0 804
4 Jefferson 87 0 0 0 0 659
4 Jefferson 88 0 0 0 0 737
4 Jefferson 89 0 0 0 0 240
4 Jefferson 9 0 0 0 0 2687
4 Jefferson 90 0 0 0 0 120
4 Jefferson 91 0 0 0 0 557
4 Jefferson 92 0 0 0 0 892
4 Jefferson 93 0 0 0 0 374
4 Jefferson 94 0 0 0 0 1528
4 Jefferson 95 0 0 0 0 374
4 Jefferson 96 0 0 0 0 247
4 Jefferson 97 0 0 0 0 0
4 Jefferson 98 0 0 0 0 389
4 Jefferson 99 0 0 0 0 403
4 Montgomery "Precinct 02" 0 0 0 0 1893
4 Montgomery "Precinct 03" 0 0 0 0 4578
4 Montgomery "Precinct 04" 0 0 0 0 1267
4 Montgomery "Precinct 06" 0 0 0 0 2947
4 Montgomery "Precinct 07" 0 0 0 0 1420
4 Montgomery "Precinct 09" 0 0 0 0 1446
4 Montgomery "Precinct 10" 0 0 0 0 1299
4 Montgomery "Precinct 100" 0 0 0 0 3412
4 Montgomery "Precinct 11" 0 0 0 0 1418
4 Montgomery "Precinct 12" 0 0 0 0 1268
4 Montgomery "Precinct 13" 0 0 0 0 4313
4 Montgomery "Precinct 14" 0 0 0 0 2909
4 Montgomery "Precinct 15" 0 0 0 0 3793
4 Montgomery "Precinct 16" 0 0 0 0 2564
4 Montgomery "Precinct 18" 0 0 0 0 3500
4 Montgomery "Precinct 20" 0 0 0 0 1311
4 Montgomery "Precinct 21" 0 0 0 0 2545
4 Montgomery "Precinct 24" 0 0 0 0 2264
4 Montgomery "Precinct 25" 0 0 0 0 2170
4 Montgomery "Precinct 26" 0 0 0 0 1482
4 Montgomery "Precinct 27" 0 0 0 0 3003
4 Montgomery "Precinct 28" 0 0 0 0 2330
4 Montgomery "Precinct 29" 0 0 0 0 3788
4 Montgomery "Precinct 30" 0 0 0 0 2186
4 Montgomery "Precinct 31" 0 0 0 0 3607
4 Montgomery "Precinct 32" 0 0 0 0 2033
4 Montgomery "Precinct 33" 0 0 0 0 2500
4 Montgomery "Precinct 34" 0 0 0 0 2013
4 Montgomery "Precinct 35" 0 0 0 0 3514
4 Montgomery "Precinct 36" 0 0 0 0 2097
4 Montgomery "Precinct 37" 0 0 0 0 1956
4 Montgomery "Precinct 39" 0 0 0 0 3832
4 Montgomery "Precinct 40" 0 0 0 0 4696
4 Montgomery "Precinct 41" 0 0 0 0 2487
4 Montgomery "Precinct 42" 0 0 0 0 535
4 Montgomery "Precinct 43" 0 0 0 0 4387
4 Montgomery "Precinct 44" 0 0 0 0 1617
4 Montgomery "Precinct 45" 0 0 0 0 2134
4 Montgomery "Precinct 46" 0 0 0 0 4503
4 Montgomery "Precinct 47" 0 0 0 0 2884
4 Montgomery "Precinct 48" 0 0 0 0 1854
4 Montgomery "Precinct 49" 0 0 0 0 1750
4 Montgomery "Precinct 51" 0 0 0 0 1372
4 Montgomery "Precinct 52" 0 0 0 0 2229
4 Montgomery "Precinct 53" 0 0 0 0 3187
4 Montgomery "Precinct 54" 0 0 0 0 880
4 Montgomery "Precinct 55" 0 0 0 0 852
4 Montgomery "Precinct 56" 0 0 0 0 2304
