DIST COUNTY AREA TOTAL DEM REP GRN LIB OTHER
DIST COUNTY AREA TOTAL Dem Rep Grn Lib Other
0 Dallas 1004-01 0 144 77 1 1 1
0 Dallas 1004-02 0 378 384 1 11 4
0 Dallas 1006-01 0 573 610 4 19 1
0 Dallas 1007-01 0 125 166 0 3 0
0 Dallas 1039-01 0 74 11 0 1 0
0 Dallas 1040-01 0 449 196 3 5 2
0 Dallas 1040-02 0 319 172 2 3 1
0 Dallas 1041-01 0 146 30 0 0 1
0 Dallas 1043-01 0 661 578 2 16 1
0 Dallas 1043-02 0 108 49 1 2 0
0 Dallas 1044-01 0 923 864 5 27 0
0 Dallas 1045-01 0 432 118 1 7 2
0 Dallas 1046-01 0 129 55 0 4 0
0 Dallas 1047-01 0 411 223 1 6 0
0 Dallas 1048-01 0 1088 743 5 29 1
0 Dallas 1049-01 0 679 483 2 16 0
0 Dallas 1049-02 0 0 0 0 0 0
0 Dallas 1050-01 0 72 45 0 3 0
0 Dallas 1051-01 0 77 51 0 1 0
0 Dallas 1052-01 0 1442 655 7 23 0
0 Dallas 1054-01 0 466 161 2 4 0
0 Dallas 1055-01 0 197 68 0 4 0
0 Dallas 1056-01 0 296 168 1 5 1
0 Dallas 1057-01 0 626 234 4 7 1
0 Dallas 1058-01 0 761 316 8 10 0
0 Dallas 1059-01 0 641 386 2 17 3
0 Dallas 1060-01 0 1991 1014 3 32 2
0 Dallas 1061-01 0 700 288 6 13 2
0 Dallas 1062-01 0 5 2 0 0 0
0 Dallas 1063-01 0 475 179 3 4 0
0 Dallas 1063-02 0 0 0 0 0 0
0 Dallas 1063-03 0 0 0 0 0 0
0 Dallas 1064-01 0 28 12 0 0 0
0 Dallas 1065-01 0 685 196 5 11 1
0 Dallas 1065-02 0 0 0 0 0 0
0 Dallas 1065-03 0 0 0 0 0 0
0 Dallas 1067-01 0 0 0 0 0 0
0 Dallas 1067-02 0 3 2 0 0 0
0 Dallas 1068-01 0 20 19 0 0 0
0 Dallas 1068-02 0 0 0 0 0 0
0 Dallas 1076-01 0 9 4 0 0 0
0 Dallas 1077-01 0 0 0 0 0 0
0 Dallas 1078-01 0 263 47 3 4 0
0 Dallas 1078-02 0 44 6 0 0 0
0 Dallas 1079-01 0 710 242 6 13 0
0 Dallas 1079-02 0 0 0 0 0 0
0 Dallas 1080-01 0 187 35 2 5 0
0 Dallas 1081-01 0 1234 471 7 14 5
0 Dallas 1082-01 0 57 16 0 1 0
0 Dallas 1083-01 0 412 142 7 5 0
0 Dallas 1084-01 0 1424 333 4 8 2
0 Dallas 1084-02 0 4 0 0 0 0
0 Dallas 1085-01 0 271 89 6 1 0
0 Dallas 1086-01 0 117 23 1 0 1
0 Dallas 1087-01 0 1127 170 7 11 3
0 Dallas 1087-02 0 0 0 0 0 0
0 Dallas 1087-03 0 0 0 0 0 0
0 Dallas 1087-04 0 0 0 0 0 0
0 Dallas 1087-05 0 0 0 0 0 0
0 Dallas 1087-06 0 0 0 0 0 0
0 Dallas 1088-01 0 476 144 5 2 3
0 Dallas 1089-01 0 605 70 1 7 0
0 Dallas 1089-02 0 0 0 0 0 0
0 Dallas 1090-01 0 609 134 1 5 0
0 Dallas 1091-01 0 535 140 5 5 1
0 Dallas 1091-02 0 0 0 0 0 0
0 Dallas 1092-01 0 649 92 9 9 0
0 Dallas 1092-02 0 133 28 1 1 0
0 Dallas 1093-01 0 416 60 1 3 0
0 Dallas 1093-02 0 1 0 0 0 0
0 Dallas 1094-01 0 341 45 2 1 1
0 Dallas 1095-01 0 346 75 1 3 1
0 Dallas 1095-02 0 0 0 0 0 0
0 Dallas 1096-01 0 340 64 1 2 1
0 Dallas 1097-01 0 603 179 3 4 0
0 Dallas 1098-01 0 543 91 3 2 2
0 Dallas 1099-01 0 17 9 1 0 0
0 Dallas 1100-01 0 317 58 1 1 1
0 Dallas 1100-02 0 419 25 0 1 1
0 Dallas 1101-01 0 247 88 1 0 0
0 Dallas 1101-02 0 97 13 3 0 0
0 Dallas 1101-03 0 12 0 0 0 1
0 Dallas 1102-01 0 390 136 1 0 0
0 Dallas 1103-01 0 105 36 0 2 0
0 Dallas 1104-01 0 564 110 5 3 2
0 Dallas 1105-01 0 12 2 0 0 0
0 Dallas 1105-02 0 0 0 0 0 0
0 Dallas 1106-01 0 54 17 0 1 0
0 Dallas 1107-01 0 171 55 3 3 1
0 Dallas 1108-01 0 592 146 5 5 0
0 Dallas 1109-01 0 99 39 0 1 0
0 Dallas 1109-02 0 0 0 0 0 0
0 Dallas 1110-01 0 4 0 0 0 0
0 Dallas 1111-01 0 325 89 5 4 0
0 Dallas 1113-01 0 85 13 0 0 0
0 Dallas 1113-02 0 0 0 0 0 0
0 Dallas 1114-01 0 160 13 0 2 0
0 Dallas 1115-01 0 455 166 1 7 1
0 Dallas 1116-01 0 401 156 3 7 1
0 Dallas 1116-02 0 0 0 0 0 0
0 Dallas 1121-01 0 536 205 2 6 2
0 Dallas 1121-02 0 1 2 0 1 0
0 Dallas 1121-03 0 0 0 0 0 0
0 Dallas 1121-04 0 0 0 0 0 0
0 Dallas 1124-01 0 0 1 0 0 0
0 Dallas 1125-01 0 33 76 1 2 0
0 Dallas 1125-02 0 371 181 1 12 2
0 Dallas 1125-03 0 0 0 0 0 0
0 Dallas 1125-04 0 0 0 0 0 0
0 Dallas 1125-05 0 0 0 0 0 0
0 Dallas 1128-01 0 200 292 1 3 1
0 Dallas 1129-01 0 39 6 0 0 1
0 Dallas 1129-02 0 0 0 0 0 0
0 Dallas 1133-01 0 141 84 0 3 1
0 Dallas 1133-02 0 0 0 0 0 0
0 Dallas 1134-01 0 131 16 3 1 0
0 Dallas 1135-01 0 409 59 4 1 0
0 Dallas 1136-01 0 1 0 0 0 0
0 Dallas 1137-01 0 13 5 0 0 0
0 Dallas 1139-01 0 2 3 0 0 0
0 Dallas 1139-02 0 0 0 0 0 0
0 Dallas 1140-01 0 0 0 0 0 0
0 Dallas 1141-01 0 374 415 1 16 5
0 Dallas 1142-01 0 796 1005 0 23 4
0 Dallas 1143-01 0 475 567 3 6 2
0 Dallas 1143-02 0 0 0 0 0 0
0 Dallas 1144-01 0 1011 889 5 20 1
0 Dallas 1144-02 0 22 14 0 1 0
0 Dallas 1146-01 0 749 704 3 32 4
0 Dallas 1147-01 0 245 294 1 8 0
0 Dallas 1148-01 0 0 0 0 0 0
0 Dallas 1151-01 0 25 12 0 0 0
0 Dallas 1153-01 0 6 0 0 0 0
0 Dallas 1153-02 0 0 0 0 0 0
0 Dallas 1159-01 0 0 0 0 0 0
0 Dallas 1159-02 0 0 0 0 0 0
0 Dallas 1162-01 0 0 0 0 0 0
0 Dallas 1162-02 0 0 0 0 0 0
0 Dallas 1163-01 0 573 410 0 12 3
0 Dallas 1164-01 0 827 710 1 16 2
0 Dallas 1164-02 0 0 0 0 0 0
0 Dallas 1165-01 0 835 649 2 16 1
0 Dallas 1168-01 0 1173 844 5 31 1
0 Dallas 1168-02 0 0 0 0 0 0
0 Dallas 1169-01 0 1227 779 3 26 3
0 Dallas 1169-02 0 0 0 0 0 0
0 Dallas 1170-01 0 594 363 2 10 0
0 Dallas 1170-02 0 0 0 0 0 0
0 Dallas 1171-01 0 1010 562 3 11 2
0 Dallas 1172-01 0 657 401 2 17 1
0 Dallas 1172-02 0 132 58 0 2 1
0 Dallas 1172-03 0 0 0 0 0 0
0 Dallas 1173-01 0 498 268 1 11 1
0 Dallas 1174-01 0 1112 629 8 15 2
0 Dallas 1174-02 0 0 0 0 0 0
0 Dallas 1176-01 0 0 0 0 0 0
0 Dallas 1300-01 0 556 431 8 8 0
0 Dallas 1300-02 0 6 10 0 0 0
0 Dallas 1300-03 0 0 0 0 0 0
0 Dallas 1300-04 0 0 2 0 0 0
0 Dallas 1300-05 0 0 0 0 0 0
0 Dallas 1300-06 0 0 0 0 0 0
0 Dallas 1301-01 0 350 245 4 7 0
0 Dallas 1301-02 0 230 175 0 5 0
0 Dallas 1301-03 0 0 0 0 0 0
0 Dallas 1301-04 0 0 0 0 0 0
0 Dallas 1301-05 0 0 0 0 0 0
0 Dallas 1301-06 0 0 0 0 0 0
0 Dallas 1301-07 0 0 0 0 0 0
0 Dallas 1302-01 0 567 312 1 8 1
0 Dallas 1302-02 0 0 0 0 0 0
0 Dallas 1302-03 0 0 0 0 0 0
0 Dallas 1302-04 0 0 0 0 0 0
0 Dallas 1302-05 0 0 0 0 0 0
0 Dallas 1302-06 0 0 0 0 0 0
0 Dallas 1302-07 0 0 0 0 0 0
0 Dallas 1302-08 0 0 0 0 0 0
0 Dallas 1302-09 0 0 0 0 0 0
0 Dallas 1303-01 0 19 2 0 1 0
0 Dallas 1303-02 0 0 0 0 0 0
0 Dallas 1304-01 0 335 265 4 5 0
0 Dallas 1304-02 0 0 0 0 0 0
0 Dallas 1304-03 0 0 0 0 0 0
0 Dallas 1305-01 0 341 223 1 4 1
0 Dallas 1305-02 0 0 0 0 0 0
0 Dallas 1305-03 0 2 3 0 0 0
0 Dallas 1305-04 0 0 0 0 0 0
0 Dallas 1305-05 0 0 0 0 0 0
0 Dallas 1307-01 0 44 1 0 2 0
0 Dallas 1307-02 0 0 0 0 0 0
0 Dallas 1307-03 0 0 0 0 0 0
0 Dallas 1307-04 0 0 0 0 0 0
0 Dallas 1307-05 0 0 0 0 0 0
0 Dallas 1307-06 0 0 0 0 0 0
0 Dallas 1308-01 0 405 242 4 3 1
0 Dallas 1308-02 0 0 0 0 0 0
0 Dallas 1308-03 0 2 0 0 0 0
0 Dallas 1309-01 0 88 8 0 2 0
0 Dallas 1309-02 0 0 0 0 0 0
0 Dallas 1310-01 0 584 455 2 7 0
0 Dallas 1310-03 0 3 2 0 0 0
0 Dallas 1311-01 0 535 498 5 10 1
0 Dallas 1311-02 0 0 0 0 0 0
0 Dallas 1312-01 0 174 196 2 3 0
0 Dallas 1313-01 0 123 24 2 1 1
0 Dallas 1314-01 0 372 206 0 0 0
0 Dallas 1314-02 0 139 80 3 3 0
0 Dallas 1314-03 0 12 13 0 0 0
0 Dallas 1314-04 0 0 0 0 0 0
0 Dallas 1315-01 0 7 2 0 0 0
0 Dallas 1315-02 0 1 4 0 0 0
0 Dallas 1315-03 0 0 0 0 0 0
0 Dallas 1316-01 0 93 24 0 1 0
0 Dallas 1316-02 0 81 10 0 0 0
0 Dallas 1323-01 0 0 0 0 0 0
0 Dallas 1323-02 0 0 0 0 0 0
0 Dallas 1324-01 0 704 672 6 5 1
0 Dallas 1324-02 0 0 0 0 0 0
0 Dallas 1324-03 0 0 0 0 0 0
0 Dallas 1324-04 0 0 0 0 0 0
0 Dallas 1324-05 0 0 0 0 0 0
0 Dallas 1324-06 0 0 0 0 0 0
0 Dallas 1324-07 0 0 0 0 0 0
0 Dallas 1325-01 0 614 676 2 16 0
0 Dallas 1325-02 0 0 0 0 0 0
0 Dallas 1325-03 0 0 0 0 0 0
0 Dallas 1326-01 0 354 308 0 9 1
0 Dallas 1327-01 0 503 297 4 6 1
0 Dallas 1327-02 0 172 36 0 2 0
0 Dallas 1328-01 0 0 2 0 0 0
0 Dallas 1328-02 0 0 0 0 0 0
0 Dallas 1328-03 0 0 0 0 0 0
0 Dallas 1329-01 0 0 1 0 0 0
0 Dallas 1329-02 0 0 0 0 0 0
0 Dallas 1401-01 0 84 39 0 1 0
0 Dallas 1402-01 0 258 133 2 4 0
0 Dallas 1402-02 0 149 45 5 1 3
0 Dallas 1402-03 0 108 45 0 0 0
0 Dallas 1403-01 0 2 8 0 0 0
0 Dallas 1404-01 0 206 59 3 3 1
0 Dallas 1404-02 0 0 0 0 0 0
0 Dallas 1404-03 0 0 0 0 0 0
0 Dallas 1404-04 0 0 0 0 0 0
0 Dallas 1405-01 0 67 30 0 0 0
0 Dallas 1405-02 0 10 5 0 0 0
0 Dallas 1406-01 0 3 9 0 0 0
0 Dallas 1406-02 0 144 26 0 2 0
0 Dallas 1407-01 0 1 2 0 1 0
0 Dallas 1407-02 0 0 0 0 0 0
0 Dallas 1408-01 0 0 1 0 0 0
0 Dallas 1409-01 0 93 43 0 0 0
0 Dallas 1409-02 0 48 19 1 0 0
0 Dallas 1409-03 0 0 0 0 0 0
0 Dallas 1410-01 0 27 37 0 1 0
0 Dallas 1410-02 0 177 72 2 2 0
0 Dallas 1410-03 0 95 67 1 1 0
0 Dallas 1410-04 0 100 14 1 2 1
0 Dallas 1410-05 0 0 0 0 0 0
0 Dallas 1410-06 0 0 0 0 0 0
0 Dallas 1411-01 0 611 240 6 6 0
0 Dallas 1411-02 0 139 106 3 2 0
0 Dallas 1411-03 0 6 3 0 0 0
0 Dallas 1411-04 0 0 0 0 0 0
0 Dallas 1411-05 0 0 0 0 0 0
0 Dallas 1411-06 0 0 0 0 0 0
0 Dallas 1412-01 0 66 69 1 0 0
0 Dallas 1412-02 0 0 0 0 0 0
0 Dallas 1412-03 0 0 0 0 0 0
0 Dallas 1412-04 0 0 0 0 0 0
0 Dallas 1412-05 0 0 0 0 0 0
