COUNTY AREA TOTAL DEM REP LIB OTH
COUNTY AREA TOTAL Northam Gillespie Hyra Other
"Accomack County" "101 - Chincoteague" 1167 411 746 10 0
"Accomack County" "201 - Atlantic" 525 130 394 1 0
"Accomack County" "202 - Greenbackville" 655 203 445 7 0
"Accomack County" "301 - New Church" 726 357 365 4 0
"Accomack County" "401 - Bloxom" 315 93 221 1 0
"Accomack County" "402 - Parksley" 521 192 327 2 0
"Accomack County" "403 - Saxis" 136 29 107 0 0
"Accomack County" "501 - Mappsville" 406 235 169 2 0
"Accomack County" "502 - Rue" 334 240 92 2 0
"Accomack County" "601 - Accomac" 829 365 460 4 0
"Accomack County" "602 - Tangier" 174 18 156 0 0
"Accomack County" "701 - Nandua" 1450 729 714 7 0
"Accomack County" "801 - Bobtown" 480 186 291 3 0
"Accomack County" "802 - Melfa" 573 323 249 1 0
"Accomack County" "803 - Wachapreague" 408 142 266 0 0
"Accomack County" "901 - Painter" 1216 754 457 5 0
"Accomack County" "Ab - Central Absentee Precinct" 751 469 277 5 0
"Accomack County" Provisional 0 0 0 0 0
"Albemarle County" "101 - Woodbrook" 1614 1020 574 20 0
"Albemarle County" "103 - Branchlands" 575 415 156 4 0
"Albemarle County" "104 - Agnor-Hurt" 1143 835 285 22 1
"Albemarle County" "105 - Dunlora" 1773 1265 487 21 0
"Albemarle County" "106 - Northside" 1693 968 704 21 0
"Albemarle County" "201 - Jack Jouett" 1255 772 467 15 1
"Albemarle County" "202 - University Hall" 1702 1368 318 14 2
"Albemarle County" "203 - Georgetown" 1265 989 262 14 0
"Albemarle County" "204 - Belfield" 731 438 290 3 0
"Albemarle County" "301 - Ivy" 2376 1563 788 22 3
"Albemarle County" "302 - Red Hill" 1589 1008 571 10 0
"Albemarle County" "304 - East Ivy" 628 385 237 6 0
"Albemarle County" "305 - Country Green" 1359 939 403 15 2
"Albemarle County" "306 - Porters" 744 485 253 6 0
"Albemarle County" "307 - Yellow Mountain" 384 218 160 5 1
"Albemarle County" "401 - Scottsville" 801 371 420 9 1
"Albemarle County" "402 - Monticello" 742 351 384 7 0
"Albemarle County" "405 - Cale" 2476 1882 560 32 2
"Albemarle County" "406 - Stone Robinson" 1729 821 897 10 1
"Albemarle County" "501 - Keswick" 768 442 316 9 1
"Albemarle County" "502 - Stony Point" 908 484 413 10 1
"Albemarle County" "503 - Hollymead" 1385 859 505 21 0
"Albemarle County" "504 - Free Bridge" 2329 1586 719 23 1
"Albemarle County" "506 - Baker-Butler" 1793 973 787 31 2
"Albemarle County" "601 - Crozet" 2304 1467 805 30 2
"Albemarle County" "602 - Free Union" 784 436 343 5 0
"Albemarle County" "603 - Earlysville" 1845 980 854 10 1
"Albemarle County" "604 - Brownsville" 2688 1646 1008 34 0
"Albemarle County" "Ab - Central Absentee Precinct" 2883 1977 877 27 2
"Albemarle County" Provisional 42 26 14 2 0
"Alexandria City" "101 - Ladrey Senior Building" 1290 924 356 7 3
"Alexandria City" "102 - City Hall" 1341 851 479 10 1
"Alexandria City" "103 - Lyles Crouch School" 1964 1401 549 14 0
"Alexandria City" "104 - Durant Center" 1501 1209 274 16 2
"Alexandria City" "105 - Lee Center" 2077 1620 441 16 0
"Alexandria City" "106 - Cora Kelly" 2017 1711 281 25 0
"Alexandria City" "107 - Mt Vernon Recreation Center" 2446 2039 387 17 3
"Alexandria City" "108 - George Washington Middle Sch" 2415 1990 398 24 3
"Alexandria City" "109 - Fire Department Headquarters" 1415 1011 390 11 3
"Alexandria City" "110 - Charles Houston Center" 1499 1231 254 13 1
"Alexandria City" "111 - Potomac Yard" 715 533 167 15 0
"Alexandria City" "201 - Maury School" 1729 1340 372 16 1
"Alexandria City" "202 - George Mason School" 1756 1227 517 12 0
"Alexandria City" "203 - Agudas Achim Synagogue" 1686 1363 309 12 2
"Alexandria City" "204 - Blessed Sacrament Church" 1616 1163 441 10 2
"Alexandria City" "205 - Douglas Macarthur School" 1946 1432 493 20 1
"Alexandria City" "206 - Chinquapin Park Recreation Ctr" 1420 1083 328 9 0
"Alexandria City" "207 - Temple Beth El Synagogue" 1887 1359 509 18 1
"Alexandria City" "208 - Nova Arts Center" 1571 1285 267 18 1
"Alexandria City" "209 - James K Polk School" 1816 1470 336 8 2
"Alexandria City" "210 - The Hermitage" 893 669 218 6 0
"Alexandria City" "302 - Patrick Henry Rec Center" 1184 997 175 12 0
"Alexandria City" "303 - Charles E Beatley Library" 1491 1263 211 16 1
"Alexandria City" "304 - Samuel Tucker School" 1988 1715 258 14 1
"Alexandria City" "305 - John Adams School" 1390 1169 207 14 0
"Alexandria City" "306 - William Ramsay School" 1509 1276 219 12 2
"Alexandria City" "307 - South Port" 1423 1134 279 10 0
"Alexandria City" "308 - Cameron Station Community Ctr" 1876 1354 509 13 0
"Alexandria City" "Ab - Central Absentee Precinct" 6242 5007 1183 46 6
"Alexandria City" Provisional 86 70 15 0 1
"Alleghany County" "101 - Arritt" 392 93 295 3 1
"Alleghany County" "103 - Dameron" 164 32 130 2 0
"Alleghany County" "201 - Humpback Bridge" 256 78 178 0 0
"Alleghany County" "202 - Dolly Ann" 310 87 221 2 0
