COUNTY AREA TOTAL DEM REP LIB OTH
COUNTY AREA TOTAL Kaine Stewart Waters Other
"Accomack County" "101 - Chincoteague" 1435 487 932 16 0
"Accomack County" "201 - Atlantic" 599 159 430 10 0
"Accomack County" "202 - Greenbackville" 826 277 541 7 1
"Accomack County" "301 - New Church" 972 515 447 10 0
"Accomack County" "401 - Bloxom" 370 106 260 4 0
"Accomack County" "402 - Parksley" 606 236 363 7 0
"Accomack County" "403 - Saxis" 156 39 117 0 0
"Accomack County" "501 - Mappsville" 484 299 180 4 1
"Accomack County" "502 - Rue" 411 312 98 0 1
"Accomack County" "601 - Accomac" 942 436 495 11 0
"Accomack County" "602 - Tangier" 203 30 171 2 0
"Accomack County" "701 - Nandua" 1540 755 763 19 3
"Accomack County" "801 - Bobtown" 529 214 311 3 1
"Accomack County" "802 - Melfa" 674 358 308 8 0
"Accomack County" "803 - Wachapreague" 450 155 285 10 0
"Accomack County" "901 - Painter" 1375 869 492 14 0
"Accomack County" "Ab - Central Absentee Precinct" 1171 748 412 10 1
"Accomack County" Provisional 2 2 0 0 0
"Albemarle County" "101 - Woodbrook" 1916 1268 591 53 4
"Albemarle County" "103 - Branchlands" 727 536 170 20 1
"Albemarle County" "104 - Agnor-Hurt" 1489 1115 343 30 1
"Albemarle County" "105 - Dunlora" 2186 1641 493 51 1
"Albemarle County" "106 - Northside" 2228 1367 798 60 3
"Albemarle County" "201 - Jack Jouett" 2263 1490 718 47 8
"Albemarle County" "202 - University" 2324 1933 308 77 6
"Albemarle County" "203 - Georgetown" 1704 1356 289 56 3
"Albemarle County" "301 - Ivy" 2642 1811 773 52 6
"Albemarle County" "302 - Red Hill" 1877 1203 641 32 1
"Albemarle County" "304 - East Ivy" 652 425 208 17 2
"Albemarle County" "305 - Country Green" 1678 1194 451 31 2
"Albemarle County" "306 - Porters" 965 601 344 19 1
"Albemarle County" "307 - Yellow Mountain" 454 265 178 10 1
"Albemarle County" "401 - Scottsville" 973 462 491 20 0
