COUNTY AREA TOTAL DEM REP LIB OTH
COUNTY AREA TOTAL Biden Trump Jorgensen Other
"Accomack County" "101 - Chincoteague" 1321 229 1072 19 1
"Accomack County" "201 - Atlantic" 531 88 435 7 1
"Accomack County" "202 - Greenbackville" 876 141 723 12 0
"Accomack County" "301 - New Church" 729 277 442 9 1
"Accomack County" "401 - Bloxom" 395 84 306 5 0
"Accomack County" "402 - Parksley" 501 106 388 7 0
"Accomack County" "403 - Saxis" 186 34 152 0 0
"Accomack County" "501 - Mappsville" 286 132 149 4 1
"Accomack County" "502 - Rue" 185 99 83 3 0
"Accomack County" "601 - Accomac" 494 113 370 10 1
"Accomack County" "602 - Tangier" 236 22 209 4 1
"Accomack County" "701 - Nandua" 650 129 506 13 2
"Accomack County" "801 - Bobtown" 302 72 227 2 1
"Accomack County" "802 - Melfa" 439 138 292 7 2
"Accomack County" "803 - Wachapreague" 350 60 280 9 1
"Accomack County" "901 - Painter" 803 348 444 11 0
"Accomack County" "Ab - Central Absentee Precinct" 8657 5495 3084 66 12
"Accomack County" Provisional 21 11 10 0 0
"Albemarle County" "101 - Woodbrook" 778 365 380 23 10
"Albemarle County" "103 - Branchlands" 276 153 114 7 2
"Albemarle County" "104 - Agnor-Hurt" 677 369 280 27 1
"Albemarle County" "105 - Dunlora" 686 344 304 32 6
"Albemarle County" "106 - Northside" 1205 456 722 22 5
"Albemarle County" "201 - Jack Jouett" 716 292 396 23 5
"Albemarle County" "202 - University" 492 357 112 10 13
"Albemarle County" "203 - Georgetown" 746 486 235 18 7
"Albemarle County" "301 - Ivy" 1018 479 506 23 10
"Albemarle County" "302 - Red Hill" 1036 411 606 13 6
"Albemarle County" "304 - East Ivy" 253 125 115 6 7
"Albemarle County" "305 - Country Green" 545 230 293 14 8
"Albemarle County" "306 - Porters" 751 336 402 10 3
"Albemarle County" "307 - Yellow Mountain" 319 124 185 8 2
"Albemarle County" "401 - Scottsville" 741 183 543 14 1
"Albemarle County" "402 - Monticello" 523 133 374 12 4
"Albemarle County" "405 - Mountain View" 608 288 288 28 4
"Albemarle County" "406 - Stone Robinson" 842 224 590 20 8
"Albemarle County" "407 - Biscuit Run" 394 215 167 9 3
"Albemarle County" "501 - Keswick" 612 245 353 11 3
"Albemarle County" "502 - Stony Point" 623 210 396 11 6
"Albemarle County" "503 - Hollymead" 844 426 395 17 6
"Albemarle County" "504 - Free Bridge" 467 230 221 15 1
"Albemarle County" "506 - Baker-Butler" 958 333 586 35 4
"Albemarle County" "507 - Pantops" 389 151 214 15 9
"Albemarle County" "601 - Crozet" 977 309 643 22 3
"Albemarle County" "602 - Free Union" 650 226 414 8 2
"Albemarle County" "603 - Earlysville" 1181 372 791 14 4
"Albemarle County" "604 - Brownsville" 770 281 461 19 9
"Albemarle County" "606 - Mechums River" 902 363 501 31 7
"Albemarle County" "Ab - Central Absentee Precinct" 43242 33416 9124 492 210
"Albemarle County" Provisional 436 334 93 5 4
"Alexandria City" "101 - Ladrey Senior Building" 315 151 151 7 6
"Alexandria City" "102 - City Hall" 307 111 181 6 9
"Alexandria City" "103 - Lyles Crouch School" 606 303 271 20 12
"Alexandria City" "104 - Durant Center" 426 253 152 15 6
"Alexandria City" "105 - Lee Center" 330 178 139 11 2
"Alexandria City" "106 - Cora Kelly" 906 636 244 19 7
"Alexandria City" "107 - Mt Vernon Recreation Center" 650 413 211 14 12
"Alexandria City" "108 - George Washington Middle Sch" 487 318 151 15 3
"Alexandria City" "109 - Fire Department Headquarters" 436 219 192 15 10
"Alexandria City" "110 - Charles Houston Center" 545 391 140 9 5
"Alexandria City" "111 - Potomac Yard" 325 200 110 11 4
"Alexandria City" "112 - Alex Renew" 325 187 129 2 7
"Alexandria City" "201 - Maury School" 473 266 188 8 11
"Alexandria City" "202 - George Mason School" 511 244 243 11 13
"Alexandria City" "203 - Charles Barrett Center" 518 313 181 14 10
"Alexandria City" "204 - Blessed Sacrament Church" 492 261 205 11 15
"Alexandria City" "205 - Douglas Macarthur School" 520 291 201 15 13
"Alexandria City" "206 - Chinquapin Park Recreation Ctr" 394 225 145 9 15
"Alexandria City" "207 - Temple Beth El Synagogue" 638 375 236 14 13
"Alexandria City" "208 - Nova Arts Center" 747 454 259 22 12
"Alexandria City" "209 - James K Polk School" 723 477 227 13 6
"Alexandria City" "210 - The Hermitage" 314 183 117 12 2
"Alexandria City" "302 - Patrick Henry Rec Center" 509 353 138 12 6
"Alexandria City" "303 - Charles E Beatley Library" 420 286 118 13 3
"Alexandria City" "304 - Samuel Tucker School" 600 406 172 18 4
"Alexandria City" "305 - John Adams School" 880 666 195 12 7
"Alexandria City" "306 - William Ramsay School" 853 638 197 12 6
"Alexandria City" "307 - South Port" 667 453 198 10 6
"Alexandria City" "308 - Cameron Station Community Ctr" 630 335 274 10 11
