COUNTY AREA TOTAL DEM REP LIB WRI
COUNTY AREA TOTAL McAuliffe Youngkin Blanding WriteIn
"Accomack County" "# Ab - Central Absentee Precinct" 639 436 195 8 0
"Accomack County" "# Ev - Central Absentee Precinct" 3950 2230 1708 12 0
"Accomack County" "# Pe - Central Absentee Precinct" 30 16 14 0 0
"Accomack County" "## Provisional" 1 0 1 0 0
"Accomack County" "101 - Chincoteague" 1318 326 983 8 1
"Accomack County" "201 - Atlantic" 482 62 418 2 0
"Accomack County" "202 - Greenbackville" 841 151 687 3 0
"Accomack County" "301 - New Church" 648 218 424 6 0
"Accomack County" "401 - Bloxom" 348 65 282 1 0
"Accomack County" "402 - Parksley" 470 100 370 0 0
"Accomack County" "403 - Saxis" 151 21 129 1 0
"Accomack County" "501 - Mappsville" 276 112 158 5 1
"Accomack County" "502 - Rue" 206 115 88 3 0
"Accomack County" "601 - Accomac" 550 146 399 4 1
"Accomack County" "602 - Tangier" 167 11 154 1 1
"Accomack County" "701 - Nandua" 755 222 530 3 0
"Accomack County" "801 - Bobtown" 374 101 273 0 0
"Accomack County" "802 - Melfa" 462 152 305 5 0
"Accomack County" "803 - Wachapreague" 345 67 277 1 0
"Accomack County" "901 - Painter" 884 397 483 4 0
"Albemarle County" "# Ab - Central Absentee Precinct" 5798 4880 857 56 5
"Albemarle County" "# Ev - Central Absentee Precinct" 13529 9319 4154 49 7
"Albemarle County" "# Pe - Central Absentee Precinct" 437 343 89 5 0
"Albemarle County" "## Provisional" 148 114 32 2 0
"Albemarle County" "101 - Woodbrook" 1284 775 493 15 1
"Albemarle County" "103 - Branchlands" 377 249 122 5 1
"Albemarle County" "104 - Agnor-Hurt" 873 591 270 9 3
"Albemarle County" "105 - Dunlora" 1336 922 408 6 0
"Albemarle County" "106 - Northside" 1598 815 772 10 1
"Albemarle County" "201 - Jack Jouett" 1261 671 579 10 1
"Albemarle County" "202 - University" 652 491 149 11 1
"Albemarle County" "203 - Georgetown" 982 688 281 11 2
"Albemarle County" "301 - Ivy" 1816 1079 730 6 1
"Albemarle County" "302 - Red Hill" 1343 674 658 9 2
"Albemarle County" "304 - East Ivy" 431 251 179 1 0
"Albemarle County" "305 - Country Green" 949 559 380 10 0
"Albemarle County" "306 - Porters" 798 392 395 11 0
"Albemarle County" "307 - Yellow Mountain" 380 183 188 9 0
"Albemarle County" "401 - Scottsville" 822 274 545 3 0
"Albemarle County" "402 - Monticello" 693 240 447 5 1
"Albemarle County" "405 - Mountain View" 1164 815 338 10 1
"Albemarle County" "406 - Stone Robinson" 1272 490 776 6 0
"Albemarle County" "407 - Biscuit Run" 558 369 177 12 0
"Albemarle County" "501 - Keswick" 696 346 347 2 1
"Albemarle County" "502 - Stony Point" 807 351 451 5 0
"Albemarle County" "503 - Hollymead" 1279 745 521 10 3
"Albemarle County" "504 - Free Bridge" 802 508 289 5 0
"Albemarle County" "506 - Baker-Butler" 1528 764 752 12 0
"Albemarle County" "507 - Pantops" 904 503 396 4 1
"Albemarle County" "601 - Crozet" 1559 789 758 12 0
"Albemarle County" "602 - Free Union" 809 350 458 1 0
"Albemarle County" "603 - Earlysville" 1656 755 893 8 0
"Albemarle County" "604 - Brownsville" 1307 718 575 12 2
"Albemarle County" "606 - Mechums River" 1595 906 682 5 2
"Alexandria City" "# Ab - Central Absentee Precinct" 7967 6769 1118 74 6
"Alexandria City" "# Ev - Central Absentee Precinct" 16647 12940 3630 65 12
"Alexandria City" "# Pe - Central Absentee Precinct" 804 678 110 14 2
"Alexandria City" "## Provisional" 252 193 56 3 0
"Alexandria City" "101 - Ladrey Senior Building" 696 416 277 3 0
"Alexandria City" "102 - City Hall" 747 413 331 2 1
"Alexandria City" "103 - Lyles Crouch School" 1238 784 446 8 0
"Alexandria City" "104 - Durant Center" 988 708 269 8 3
"Alexandria City" "105 - Lee Center" 790 547 237 5 1
"Alexandria City" "106 - Cora Kelly" 1445 1091 339 13 2
"Alexandria City" "107 - Mt Vernon Recreation Center" 1889 1507 372 7 3
"Alexandria City" "108 - George Washington Middle Sch" 1705 1344 344 17 0
"Alexandria City" "109 - Fire Department Headquarters" 1006 695 305 5 1
"Alexandria City" "110 - Charles Houston Center" 1235 946 276 11 2
"Alexandria City" "111 - Potomac Yard" 637 458 173 4 2
"Alexandria City" "112 - Alex Renew" 714 502 207 4 1
"Alexandria City" "201 - Naomi L. Brooks School" 1306 959 340 5 2
"Alexandria City" "202 - George Mason School" 1306 855 441 7 3
"Alexandria City" "203 - Charles Barrett Center" 1221 904 308 7 2
"Alexandria City" "204 - Blessed Sacrament Church" 1296 884 408 3 1
"Alexandria City" "205 - Douglas Macarthur School" 1209 804 394 9 2
"Alexandria City" "206 - Chinquapin Park Recreation Ctr" 959 671 285 2 1
"Alexandria City" "207 - Temple Beth El Synagogue" 1414 922 481 10 1
"Alexandria City" "208 - Nova Arts Center" 1277 923 346 8 0
"Alexandria City" "209 - James K Polk School" 1299 993 298 6 2
"Alexandria City" "210 - The Hermitage" 539 352 184 3 0
"Alexandria City" "302 - Patrick Henry Rec Center" 847 635 202 6 4
"Alexandria City" "303 - Charles E Beatley Library" 785 575 200 8 2
"Alexandria City" "304 - Samuel Tucker School" 892 660 215 15 2
"Alexandria City" "305 - John Adams School" 975 713 255 5 2
"Alexandria City" "306 - William Ramsay School" 1108 826 266 15 1
"Alexandria City" "307 - South Port" 1063 758 287 15 3
"Alexandria City" "308 - Cameron Station Community Ctr" 1346 887 448 10 1
"Alexandria City" "309 - Olympus Condo" 728 554 165 8 1
"Alleghany County" "# Ab - Central Absentee Precinct" 315 203 107 5 0
"Alleghany County" "# Ev - Central Absentee Precinct" 652 253 396 3 0
"Alleghany County" "# Pe - Central Absentee Precinct" 2 1 1 0 0
"Alleghany County" "## Provisional" 0 0 0 0 0
"Alleghany County" "101 - Arritt" 541 77 461 3 0
"Alleghany County" "103 - Dameron" 205 23 181 1 0
"Alleghany County" "201 - Humpback Bridge" 306 45 260 1 0
"Alleghany County" "202 - Dolly Ann" 390 65 321 1 3
"Alleghany County" "301 - Callaghan" 324 29 294 1 0
"Alleghany County" "302 - Griffith" 548 105 442 1 0
"Alleghany County" "401 - Low Moor" 362 67 295 0 0
"Alleghany County" "402 - Jackson Heights" 441 82 359 0 0
"Alleghany County" "501 - Iron Gate" 208 59 147 2 0
"Alleghany County" "502 - Peters Switch" 640 106 530 2 2
"Alleghany County" "601 - District 1" 691 228 462 1 0
"Alleghany County" "701 - District 2" 454 175 274 5 0
"Amelia County" "# Ab - Central Absentee Precinct" 258 156 101 1 0
"Amelia County" "# Ev - Central Absentee Precinct" 1967 590 1372 4 1
"Amelia County" "# Pe - Central Absentee Precinct" 13 6 5 2 0
"Amelia County" "## Provisional" 4 3 1 0 0
"Amelia County" "101 - Number One" 741 139 601 1 0
"Amelia County" "201 - Number Two" 859 185 673 1 0
"Amelia County" "301 - Number Three" 795 146 644 5 0
"Amelia County" "401 - Number Four" 711 123 586 2 0
"Amelia County" "501 - Number Five" 1014 269 737 7 1
"Amherst County" "# Ab - Central Absentee Precinct" 978 594 370 11 3
"Amherst County" "# Ev - Central Absentee Precinct" 3040 1036 1996 7 1
"Amherst County" "# Pe - Central Absentee Precinct" 12 8 4 0 0
"Amherst County" "## Provisional" 6 1 3 2 0
"Amherst County" "101 - Wright Shop" 670 276 391 3 0
"Amherst County" "102 - New Glasgow" 833 162 668 3 0
"Amherst County" "103 - Coolwell" 469 70 395 3 1
"Amherst County" "201 - Court House" 1209 344 857 8 0
"Amherst County" "202 - Temperance" 618 107 510 1 0
"Amherst County" "301 - Monroe" 611 123 481 7 0
"Amherst County" "302 - Elon" 1514 275 1231 8 0
"Amherst County" "303 - Pleasant View" 370 63 305 2 0
"Amherst County" "401 - Amelon" 1438 327 1102 8 1
"Amherst County" "402 - Lonco" 408 81 326 1 0
"Amherst County" "501 - Madison" 1530 430 1092 8 0
"Appomattox County" "# Ab - Central Absentee Precinct" 260 145 109 5 1
"Appomattox County" "# Ev - Central Absentee Precinct" 1940 443 1490 6 1
"Appomattox County" "# Pe - Central Absentee Precinct" 7 5 2 0 0
"Appomattox County" "## Provisional" 2 0 1 1 0
"Appomattox County" "101 - Vera" 395 45 347 2 1
"Appomattox County" "102 - Pamplin" 673 129 544 0 0
"Appomattox County" "201 - Chap" 261 57 204 0 0
"Appomattox County" "202 - Spout Spring" 861 68 789 4 0
"Appomattox County" "301 - Us  460" 570 68 498 3 1
"Appomattox County" "302 - Stonewall" 676 117 558 1 0
"Appomattox County" "401 - Courthouse" 783 137 644 2 0
"Appomattox County" "501 - Oakville" 731 166 562 2 1
"Appomattox County" "502 - Agee" 281 58 223 0 0
"Arlington County" "# Ab - Central Absentee Precinct" 13726 11900 1688 123 15
"Arlington County" "# Ev - Central Absentee Precinct" 27743 22713 4901 105 24
"Arlington County" "# Pe - Central Absentee Precinct" 974 800 160 14 0
"Arlington County" "## Provisional" 376 318 55 3 0
"Arlington County" "1 - Arlington" 917 682 224 8 3
"Arlington County" "2 - Ashton Heights" 1102 790 305 7 0
"Arlington County" "3 - Aurora Hills" 760 491 268 0 1
"Arlington County" "4 - Ballston" 1194 870 318 5 1
"Arlington County" "5 - Barcroft" 1109 810 292 6 1
"Arlington County" "6 - Crystal City" 832 578 245 8 1
"Arlington County" "7 - Cherrydale" 1124 786 329 6 3
"Arlington County" "8 - Hume" 1315 951 348 11 5
"Arlington County" "9 - Columbia" 1196 870 313 10 3
"Arlington County" "10 - Wilson" 1041 732 299 9 1
"Arlington County" "11 - East Falls Church" 914 644 267 3 0
"Arlington County" "12 - Fairlington" 1303 944 348 11 0
"Arlington County" "13 - Glen Carlyn" 797 559 230 6 2
