COUNTY AREA TOTAL DEM REP CON LIB WGR IND1 IND2 IND3 IND4 IND5 IND6 IND7 IND8 IND9 IND10 IND11 SCATTERING
COUNTY AREA TOTAL Clinton Trump Castle Johnson Stein IND1 IND2 IND3 IND4 IND5 IND6 IND7 IND8 IND9 IND10 IND11 SCATTERING
ADAMS "TOWN OF ADAMS Wards 1-3" 618 207 377 3 22 4 1 0 0 3 0 0 0 0 0 0 0 1
ADAMS "TOWN OF BIG FLATS Ward 1-2" 490 169 300 4 10 4 0 0 0 0 0 0 0 0 0 0 0 3
ADAMS "TOWN OF COLBURN Ward 1" 130 42 85 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0
ADAMS "TOWN OF DELL PRAIRIE Ward 1-3" 826 303 478 3 27 10 1 0 0 1 0 0 0 0 0 0 0 3
ADAMS "TOWN OF EASTON Wards 1-2" 519 169 334 5 6 1 0 0 0 1 0 0 0 0 0 0 0 3
ADAMS "TOWN OF JACKSON Ward 1-2" 562 224 312 0 15 3 0 0 0 3 0 0 0 0 0 0 0 5
ADAMS "TOWN OF LEOLA Ward 1" 138 18 117 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0
ADAMS "TOWN OF LINCOLN Ward 1" 181 77 98 1 2 1 1 1 0 0 0 0 0 0 0 0 0 0
ADAMS "TOWN OF MONROE Ward 1" 237 102 129 0 4 0 0 0 0 2 0 0 0 0 0 0 0 0
ADAMS "TOWN OF NEW CHESTER Ward 1-3" 401 138 247 1 14 0 0 0 0 0 0 0 0 0 0 0 0 1
ADAMS "TOWN OF NEW HAVEN Ward 1" 340 145 177 3 9 4 0 0 0 0 0 0 0 0 0 0 0 2
ADAMS "TOWN OF PRESTON Ward 1-2" 694 270 397 3 9 10 0 1 0 1 0 0 0 0 0 0 0 3
ADAMS "TOWN OF QUINCY Ward 1-3" 652 272 358 3 12 6 1 0 0 0 0 0 0 0 0 0 0 0
ADAMS "TOWN OF RICHFIELD Ward 1" 86 27 56 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0
ADAMS "TOWN OF ROME Ward 1-5" 1961 719 1174 8 33 13 0 0 0 0 0 0 0 0 0 0 0 14
ADAMS "TOWN OF SPRINGVILLE Ward 1-2" 657 223 418 1 1 8 2 0 0 0 0 0 0 0 0 0 0 4
ADAMS "TOWN OF STRONGS PRAIRIE Wards 1-3" 610 212 378 2 11 6 0 0 0 0 0 0 0 0 0 0 0 1
ADAMS "VILLAGE OF FRIENDSHIP Ward 1" 285 117 155 1 10 2 0 0 0 0 0 0 0 0 0 0 0 0
ADAMS "CITY OF ADAMS Ward 1-4" 755 329 379 6 16 6 2 1 0 4 0 0 0 0 0 0 0 12
ADAMS "CITY OF WISCONSIN DELLS Wards 5,9" 22 7 14 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
ASHLAND "TOWN OF AGENDA Ward 1" 227 68 151 1 6 0 0 0 0 0 0 0 0 0 0 0 0 1
ASHLAND "TOWN OF ASHLAND Ward 1" 312 145 147 1 8 7 1 0 0 0 0 0 0 0 0 0 0 3
ASHLAND "TOWN OF CHIPPEWA Ward 1" 211 75 126 1 4 1 0 1 0 0 0 0 0 0 0 0 0 3
ASHLAND "TOWN OF GINGLES Ward 1" 430 211 198 3 5 9 0 0 0 0 0 0 0 0 0 0 0 4
ASHLAND "TOWN OF GORDON Wards 1-2" 149 49 94 0 4 0 0 0 0 0 0 0 0 0 2 0 0 0
ASHLAND "TOWN OF JACOBS Ward 1" 334 120 204 0 6 1 0 0 0 2 0 0 0 0 0 0 0 1
ASHLAND "TOWN OF LA POINTE Ward 1" 242 159 52 0 8 17 0 1 0 3 0 0 0 0 0 0 0 2
ASHLAND "TOWN OF MARENGO Wards 1-2" 212 92 101 0 8 5 0 1 0 3 0 0 0 0 0 0 0 2
ASHLAND "TOWN OF MORSE Wards 1-3" 297 150 139 0 2 1 1 0 0 2 0 0 0 0 0 0 0 2
ASHLAND "TOWN OF PEEKSVILLE Wards 1-2" 95 33 52 1 4 3 0 0 0 1 0 0 0 0 0 0 0 1
ASHLAND "TOWN OF SANBORN Wards 1-2" 496 399 72 2 6 11 1 0 0 0 0 0 0 0 0 0 0 5
ASHLAND "TOWN OF SHANAGOLDEN Ward 1" 63 28 32 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0
ASHLAND "TOWN OF WHITE RIVER Wards 1-2" 463 128 308 4 6 14 0 0 0 1 0 0 0 0 0 0 0 2
ASHLAND "VILLAGE OF BUTTERNUT Wards 1-2" 177 86 84 0 4 1 0 0 0 1 0 0 0 0 0 0 0 1
ASHLAND "CITY OF ASHLAND Ward 1" 476 213 238 1 12 5 0 0 0 0 0 0 0 0 0 0 0 7
ASHLAND "CITY OF ASHLAND Ward 2" 270 158 91 0 11 2 3 0 0 0 0 0 0 0 0 0 0 5
ASHLAND "CITY OF ASHLAND Ward 3" 320 201 107 0 7 3 0 0 0 0 0 0 0 0 0 0 0 2
ASHLAND "CITY OF ASHLAND Ward 4" 450 258 164 1 17 5 0 0 0 0 0 0 0 0 0 0 0 5
ASHLAND "CITY OF ASHLAND Ward 5" 396 271 100 2 10 3 0 0 0 0 0 0 0 0 0 0 0 10
ASHLAND "CITY OF ASHLAND Ward 6" 307 193 93 0 5 10 1 1 0 0 0 0 0 0 0 0 0 4
ASHLAND "CITY OF ASHLAND Ward 7" 476 303 116 0 14 32 1 0 0 0 0 0 0 0 0 0 0 10
ASHLAND "CITY OF ASHLAND Ward 8" 321 184 106 1 15 7 0 4 0 0 0 0 0 0 0 0 0 4
ASHLAND "CITY OF ASHLAND Ward 9" 287 175 88 3 6 11 1 0 0 0 0 0 0 0 0 0 0 3
ASHLAND "CITY OF ASHLAND Ward 10" 340 190 136 0 7 7 0 0 0 0 0 0 0 0 0 0 0 0
ASHLAND "CITY OF ASHLAND Ward 11" 382 200 151 0 11 10 1 0 0 0 0 0 0 0 0 0 0 9
ASHLAND "CITY OF MELLEN Ward 1" 296 139 152 0 4 1 0 0 0 0 0 0 0 0 0 0 0 0
