"COUNTY" "AREA" "TOTAL" DEM REP "Castle" "Johnson" "Stein" "Moorehead" "De.La.Fuente" "WRI1" "WRI2" "WRI3" "WRI4" "WRI5" "WRI6" "WRI7" "WRI8" "WRI9" "SCATTERING"
COUNTY AREA TOTAL Clinton Trump Castle Johnson Stein Moorehead De.La.Fuente WRI1 WRI2 WRI3 WRI4 WRI5 WRI6 WRI7 WRI8 WRI9 SCATTERING
ADAMS "TOWN OF ADAMS Wards 1-3" 618 207 377 3 22 4 1 0 0 3 0 0 0 0 0 0 0 1
ADAMS "TOWN OF BIG FLATS Ward 1-2" 490 169 300 4 10 4 0 0 0 0 0 0 0 0 0 0 0 3
ADAMS "TOWN OF COLBURN Ward 1" 130 42 85 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0
ADAMS "TOWN OF DELL PRAIRIE Ward 1-3" 820 301 474 3 27 10 1 0 0 1 0 0 0 0 0 0 0 3
ADAMS "TOWN OF EASTON Wards 1-2" 522 169 336 6 6 1 0 0 0 1 0 0 0 0 0 0 0 3
ADAMS "TOWN OF JACKSON Ward 1-2" 565 225 314 0 15 3 0 0 0 3 0 0 0 0 0 0 0 5
ADAMS "TOWN OF LEOLA Ward 1" 137 18 116 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0
ADAMS "TOWN OF LINCOLN Ward 1" 180 76 98 1 2 1 1 1 0 0 0 0 0 0 0 0 0 0
ADAMS "TOWN OF MONROE Ward 1" 237 102 129 0 4 0 0 0 0 2 0 0 0 0 0 0 0 0
ADAMS "TOWN OF NEW CHESTER Ward 1-3" 401 138 247 1 14 0 0 0 0 0 0 0 0 0 0 0 0 1
ADAMS "TOWN OF NEW HAVEN Ward 1" 339 145 176 3 9 4 0 0 0 0 0 0 0 0 0 0 0 2
ADAMS "TOWN OF PRESTON Ward 1-2" 694 270 397 3 9 10 0 1 0 1 0 0 0 0 0 0 0 3
ADAMS "TOWN OF QUINCY Ward 1-3" 648 269 357 3 12 6 1 0 0 0 0 0 0 0 0 0 0 0
ADAMS "TOWN OF RICHFIELD Ward 1" 86 27 56 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0
ADAMS "TOWN OF ROME Ward 1-5" 1951 715 1169 7 33 13 0 0 0 0 0 0 0 0 0 0 0 14
ADAMS "TOWN OF SPRINGVILLE Ward 1-2" 649 211 414 2 10 7 1 0 0 0 0 0 0 0 0 0 0 4
ADAMS "TOWN OF STRONGS PRAIRIE Wards 1-3" 609 213 376 2 11 6 0 0 0 0 0 0 0 0 0 0 0 1
ADAMS "VILLAGE OF FRIENDSHIP Ward 1" 285 117 154 1 11 2 0 0 0 0 0 0 0 0 0 0 0 0
ADAMS "CITY OF ADAMS Ward 1-4" 748 325 377 6 15 6 2 1 0 4 0 0 0 0 0 0 0 12
ADAMS "CITY OF WISCONSIN DELLS Wards 5,9" 21 6 14 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
ASHLAND "TOWN OF AGENDA Ward 1" 227 68 151 1 6 0 0 0 0 0 0 0 0 0 0 0 0 1
ASHLAND "TOWN OF ASHLAND Ward 1" 311 144 147 1 8 7 1 0 0 0 0 0 0 0 0 0 0 3
ASHLAND "TOWN OF CHIPPEWA Ward 1" 209 72 128 1 4 1 0 1 0 0 0 0 0 0 0 0 0 2
ASHLAND "TOWN OF GINGLES Ward 1" 430 211 198 3 5 9 0 0 0 0 0 0 0 0 0 0 0 4
ASHLAND "TOWN OF GORDON Wards 1-2" 150 49 94 0 5 0 0 0 0 0 0 0 0 0 1 0 0 1
ASHLAND "TOWN OF JACOBS Ward 1" 334 120 204 0 6 1 0 0 0 2 0 0 0 0 0 0 0 1
ASHLAND "TOWN OF LA POINTE Ward 1" 242 159 53 0 8 17 0 1 0 0 0 0 0 0 0 0 0 4
ASHLAND "TOWN OF MARENGO Wards 1-2" 212 92 101 0 8 5 0 1 0 3 0 0 0 0 0 0 0 2
ASHLAND "TOWN OF MORSE Wards 1-3" 297 150 138 0 2 1 1 0 0 0 0 0 0 0 0 0 0 5
ASHLAND "TOWN OF PEEKSVILLE Wards 1-2" 95 33 52 1 4 3 0 0 0 1 0 0 0 0 0 0 0 1
ASHLAND "TOWN OF SANBORN Wards 1-2" 498 398 72 2 6 11 1 0 0 0 0 0 0 0 0 0 0 8
ASHLAND "TOWN OF SHANAGOLDEN Ward 1" 64 28 32 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1
ASHLAND "TOWN OF WHITE RIVER Wards 1-2" 464 128 309 4 6 14 0 0 0 1 0 0 0 0 0 0 0 2
ASHLAND "VILLAGE OF BUTTERNUT Wards 1-2" 177 86 84 0 4 1 0 0 0 0 0 0 0 0 0 0 0 2
ASHLAND "CITY OF ASHLAND Ward 1" 476 213 238 1 12 5 0 0 0 0 0 0 0 0 0 0 0 7
ASHLAND "CITY OF ASHLAND Ward 2" 270 159 90 0 11 2 3 0 0 0 0 0 0 0 0 0 0 5
ASHLAND "CITY OF ASHLAND Ward 3" 319 201 107 0 7 3 0 0 0 0 0 0 0 0 0 0 0 1
ASHLAND "CITY OF ASHLAND Ward 4" 451 258 164 1 17 5 0 0 0 3 0 0 0 0 0 0 0 3
ASHLAND "CITY OF ASHLAND Ward 5" 396 271 100 2 10 3 0 0 0 0 0 0 0 0 0 0 0 10
ASHLAND "CITY OF ASHLAND Ward 6" 308 193 94 0 5 10 1 0 0 1 0 0 0 0 0 0 1 3
ASHLAND "CITY OF ASHLAND Ward 7" 476 303 115 0 15 32 1 0 0 0 0 0 0 0 0 0 0 10
ASHLAND "CITY OF ASHLAND Ward 8" 317 185 105 1 15 7 0 0 0 0 0 0 0 0 0 0 0 4
ASHLAND "CITY OF ASHLAND Ward 9" 287 175 88 3 6 11 1 0 0 0 0 0 0 0 0 0 0 3
ASHLAND "CITY OF ASHLAND Ward 10" 343 191 136 0 7 7 0 0 0 0 0 0 0 0 0 0 0 2
ASHLAND "CITY OF ASHLAND Ward 11" 382 199 151 0 11 10 1 0 0 0 0 0 0 0 0 0 0 10
ASHLAND "CITY OF MELLEN Ward 1" 297 140 152 0 4 1 0 0 0 0 0 0 0 0 0 0 0 0
BARRON "TOWN OF ALMENA Ward 1-2" 483 148 306 4 21 1 0 0 0 3 0 0 0 0 0 0 0 0
BARRON "TOWN OF ARLAND Ward 1" 317 107 180 4 19 7 0 0 0 0 0 0 0 0 0 0 0 0
BARRON "TOWN OF BARRON Ward 1-2" 375 97 255 2 16 1 0 0 0 4 0 0 0 0 0 0 0 0
BARRON "TOWN OF BEAR LAKE Ward 1" 377 133 226 1 10 5 2 0 0 0 0 0 0 0 0 0 0 0
BARRON "TOWN OF CEDAR LAKE Ward 1" 697 210 471 1 11 4 0 0 0 0 0 0 0 0 0 0 0 0
BARRON "TOWN OF CHETEK Wards 1-2" 1055 375 651 0 22 6 0 1 0 0 0 0 0 0 0 0 0 0
BARRON "TOWN OF CLINTON Ward 1" 355 112 220 3 19 0 0 1 0 0 0 0 0 0 0 0 0 0
