DIST COUNTY AREA TOTAL DEM REP IND1 IND2 OTH
DIST COUNTY AREA TOTAL DEM REP IND1 IND2 OTH
1 KENOSHA "Town of BRIGHTON Wards 1-4" 1606 227 552 24 0 0
1 KENOSHA "Town of PARIS Wards 1-2" 1688 256 564 24 0 0
1 KENOSHA "Town of RANDALL Wards 1-7" 3030 485 964 66 0 0
1 KENOSHA "Town of SOMERS Ward 1" 140 33 36 1 0 0
1 KENOSHA "Town of SOMERS Ward 2" 798 168 210 20 0 1
1 KENOSHA "Town of WHEATLAND Wards 1-6" 3162 511 1020 50 0 0
1 KENOSHA "Village of BRISTOL Wards 1-3,8" 2830 440 928 47 0 0
1 KENOSHA "Village of BRISTOL Wards 4-7" 2352 403 736 36 0 1
1 KENOSHA "VILLAGE OF GENOA CITY Ward 5" 0 0 0 0 0 0
1 KENOSHA "Village of PADDOCK LAKE Wards 1-6" 2360 446 685 49 0 0
1 KENOSHA "Village of PLEASANT PRAIRIE Wards 1-3" 4726 1018 1269 74 0 2
1 KENOSHA "Village of PLEASANT PRAIRIE Wards 4-5" 2546 517 720 36 0 0
1 KENOSHA "Village of PLEASANT PRAIRIE Wards 6-7" 3176 763 782 43 0 0
1 KENOSHA "Village of PLEASANT PRAIRIE Wards 8-11" 4818 920 1416 71 0 2
1 KENOSHA "Village of PLEASANT PRAIRIE Wards 12-14" 4786 1067 1257 69 0 0
1 KENOSHA "Village of SALEM LAKES Wards 1-5,10" 5714 1002 1756 94 0 5
1 KENOSHA "Village of SALEM LAKES Wards 6-9" 4162 785 1221 74 0 1
1 KENOSHA "Village of SALEM LAKES Wards 11-13" 1948 350 585 37 0 2
1 KENOSHA "Village of SOMERS Wards 1-4" 2812 611 739 55 0 1
1 KENOSHA "Village of SOMERS Wards 5-6,9-10" 2550 645 582 45 0 3
1 KENOSHA "Village of SOMERS Wards 7-8" 1076 283 231 23 0 1
1 KENOSHA "Village of SOMERS Ward 11" 628 130 177 6 0 1
1 KENOSHA "Village of SOMERS Ward 12" 860 144 279 7 0 0
1 KENOSHA "Village of TWIN LAKES Wards 1-8" 4554 879 1317 78 0 3
1 KENOSHA "City of KENOSHA Ward 1" 884 293 131 18 0 0
1 KENOSHA "City of KENOSHA Ward 2" 820 234 162 14 0 0
1 KENOSHA "City of KENOSHA Ward 3" 556 209 57 12 0 0
1 KENOSHA "City of KENOSHA Ward 4" 1360 435 212 33 0 0
1 KENOSHA "City of KENOSHA Ward 5" 792 276 103 17 0 0
1 KENOSHA "City of KENOSHA Ward 6" 852 242 175 9 0 0
1 KENOSHA "City of KENOSHA Ward 7" 518 209 37 13 0 0
1 KENOSHA "City of KENOSHA Ward 8" 1648 529 274 21 0 0
1 KENOSHA "City of KENOSHA Ward 9" 676 219 109 10 0 0
1 KENOSHA "City of KENOSHA Ward 10" 550 213 54 8 0 0
1 KENOSHA "City of KENOSHA Ward 11" 646 229 83 11 0 0
1 KENOSHA "City of KENOSHA Ward 12" 1040 323 181 16 0 0
1 KENOSHA "City of KENOSHA Ward 13" 1234 312 288 15 0 2
1 KENOSHA "City of KENOSHA Ward 14" 1114 327 216 14 0 0
1 KENOSHA "City of KENOSHA Ward 15" 1608 466 301 36 0 1
1 KENOSHA "City of KENOSHA Ward 16" 676 190 133 14 0 1
1 KENOSHA "City of KENOSHA Ward 17" 312 94 56 6 0 0
1 KENOSHA "City of KENOSHA Ward 18" 1122 362 184 15 0 0
1 KENOSHA "City of KENOSHA Ward 19" 462 152 69 10 0 0
1 KENOSHA "City of KENOSHA Ward 20" 1092 275 242 29 0 0
1 KENOSHA "City of KENOSHA Ward 21" 492 111 129 6 0 0
1 KENOSHA "City of KENOSHA Ward 22" 2376 610 536 40 0 2
1 KENOSHA "City of KENOSHA Ward 23" 596 180 109 9 0 0
1 KENOSHA "City of KENOSHA Ward 24" 1092 325 190 28 0 3
1 KENOSHA "City of KENOSHA Ward 25" 1338 421 231 16 0 1
1 KENOSHA "City of KENOSHA Ward 26" 562 191 81 9 0 0
1 KENOSHA "City of KENOSHA Ward 27" 870 320 105 10 0 0
1 KENOSHA "City of KENOSHA Ward 28" 584 204 78 10 0 0
1 KENOSHA "City of KENOSHA Ward 29" 592 216 69 11 0 0
1 KENOSHA "City of KENOSHA Ward 30" 550 191 72 12 0 0
1 KENOSHA "City of KENOSHA Ward 31" 1324 435 201 25 0 1
1 KENOSHA "City of KENOSHA Ward 32" 440 168 43 9 0 0
1 KENOSHA "City of KENOSHA Ward 33" 32 16 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 34" 660 184 131 15 0 0
1 KENOSHA "City of KENOSHA Ward 35" 1420 432 249 29 0 0
1 KENOSHA "City of KENOSHA Ward 36" 394 146 41 10 0 0
1 KENOSHA "City of KENOSHA Ward 37" 1250 413 187 25 0 0
1 KENOSHA "City of KENOSHA Ward 38" 1834 521 363 33 0 0
1 KENOSHA "City of KENOSHA Ward 39" 1034 287 215 14 0 1
1 KENOSHA "City of KENOSHA Ward 40" 390 128 64 3 0 0
1 KENOSHA "City of KENOSHA Ward 41" 774 220 156 11 0 0
1 KENOSHA "City of KENOSHA Ward 42" 558 167 97 13 0 2
1 KENOSHA "City of KENOSHA Ward 43" 1300 339 281 30 0 0
1 KENOSHA "City of KENOSHA Ward 44" 912 222 223 11 0 0
1 KENOSHA "City of KENOSHA Ward 45" 574 185 91 11 0 0
1 KENOSHA "City of KENOSHA Ward 46" 656 244 69 14 0 1
1 KENOSHA "City of KENOSHA Ward 47" 378 129 56 4 0 0
1 KENOSHA "City of KENOSHA Ward 48" 480 175 60 3 0 2
1 KENOSHA "City of KENOSHA Ward 49" 594 208 79 10 0 0
1 KENOSHA "City of KENOSHA Ward 50" 760 254 114 12 0 0
1 KENOSHA "City of KENOSHA Ward 51" 616 183 112 12 0 1
