COUNTY AREA TOTAL DEM REP Walters Schiess SCATTERING
COUNTY AREA TOTAL Baldwin Vukmir Walters Schiess SCATTERING
ADAMS "Town of ADAMS Wards 1-3" 600 283 316 0 0 1
ADAMS "Town of BIG FLATS Wards 1-2" 431 198 232 0 0 1
ADAMS "Town of COLBURN Ward 1" 103 49 54 0 0 0
ADAMS "Town of DELL PRAIRIE Wards 1-3" 765 395 369 0 0 1
ADAMS "Town of EASTON Wards 1-2" 461 208 252 0 0 1
ADAMS "Town of JACKSON Wards 1-2" 524 248 276 0 0 0
ADAMS "Town of LEOLA Ward 1" 130 28 102 0 0 0
ADAMS "Town of LINCOLN Ward 1" 155 86 69 0 0 0
ADAMS "Town of MONROE Ward 1" 234 110 124 0 0 0
ADAMS "Town of NEW CHESTER Wards 1-3" 364 184 179 0 0 1
ADAMS "Town of NEW HAVEN Ward 1" 325 173 152 0 0 0
ADAMS "Town of PRESTON Wards 1-2" 662 318 344 0 0 0
ADAMS "Town of QUINCY Wards 1-3" 611 313 298 0 0 0
ADAMS "Town of RICHFIELD Ward 1" 82 36 46 0 0 0
ADAMS "Town of ROME Wards 1-5" 1897 887 1009 0 0 1
ADAMS "Town of SPRINGVILLE Wards 1-2" 572 246 326 0 0 0
ADAMS "Town of STRONGS PRAIRIE Wards 1-3" 554 283 271 0 0 0
ADAMS "Village of FRIENDSHIP Ward 1" 252 131 121 0 0 0
ADAMS "City of ADAMS Wards 1-4" 660 353 305 0 0 2
ADAMS "CITY OF WISCONSIN DELLS Wards 5,9" 17 8 9 0 0 0
ASHLAND "Town of AGENDA Ward 1" 196 91 105 0 0 0
ASHLAND "Town of ASHLAND Ward 1" 242 153 89 0 0 0
ASHLAND "Town of CHIPPEWA Ward 1" 177 85 92 0 0 0
ASHLAND "Town of GINGLES Ward 1" 400 255 143 0 0 2
ASHLAND "Town of GORDON Wards 1-2" 141 61 80 0 0 0
ASHLAND "Town of JACOBS Ward 1" 277 120 157 0 0 0
ASHLAND "Town of LA POINTE Ward 1" 252 211 40 0 0 1
ASHLAND "Town of MARENGO Wards 1-2" 205 117 88 0 0 0
