DIST COUNTY AREA TOTAL DEM REP IND OTHER
DIST COUNTY AREA TOTAL Dem Rep Ind Other
1 Brown "City Of De Pere Ward 5" 0 143 98 0 0
1 Brown "City Of De Pere Wards 10-12" 0 1254 1116 0 6
1 Brown "City Of De Pere Wards 13-15" 0 1310 1615 0 3
1 Brown "City Of De Pere Wards 9,18" 0 302 299 0 0
1 Brown "City Of Green Bay Ward 1" 0 3 6 0 0
1 Brown "Town Of Eaton Wards 1-2" 0 327 483 0 0
1 Brown "Town Of Green Bay Wards 1-3" 0 397 732 0 1
1 Brown "Town Of Holland Wards 1-2" 0 284 514 0 1
1 Brown "Town Of Humboldt Wards 1-2" 0 241 436 0 2
1 Brown "Town Of Lawrence Wards 1-3" 0 544 818 0 0
1 Brown "Town Of Lawrence Wards 4-6" 0 582 1063 0 2
1 Brown "Town Of Ledgeview Wards 4-7" 0 807 1053 0 2
1 Brown "Town Of Morrison Wards 1-2" 0 188 573 0 0
1 Brown "Town Of New Denmark Wards 1-3" 0 309 516 0 1
1 Brown "Town Of Rockland Wards 1-3" 0 327 648 0 0
1 Brown "Town Of Scott Wards 1-4" 0 916 1105 0 1
1 Brown "Town Of Wrightstown Wards 1-3" 0 344 754 0 2
1 Brown "Village Of Denmark Wards 1-4" 0 334 587 0 2
1 Brown "Village Of Hobart Ward 9" 0 20 14 0 0
1 Brown "Village Of Wrightstown Wards 1-3" 0 393 777 0 1
1 Calumet "City Of Appleton Ward 12" 0 172 150 0 0
1 Calumet "City Of Appleton Ward 13" 0 439 352 0 0
1 Calumet "City Of Appleton Ward 14" 0 401 333 0 0
1 Calumet "City Of Appleton Ward 26" 0 476 427 0 0
1 Calumet "City Of Appleton Ward 44" 0 481 423 0 0
1 Calumet "City Of Appleton Ward 45" 0 605 558 0 0
1 Calumet "City Of Appleton Ward 46" 0 48 50 0 0
1 Calumet "City Of Appleton Ward 47" 0 0 0 0 0
1 Calumet "City Of Brillion Wards 1-4" 0 513 801 0 0
1 Calumet "City Of Kaukauna Ward 11" 0 0 0 0 0
