COUNTY AREA TOTAL DEM REP SCATTERING
COUNTY AREA TOTAL Dallet Screnock SCATTERING
ADAMS "Town of ADAMS Ward 1-3" 247 115 132 0
ADAMS "Town of BIG FLATS Ward 1-2" 159 85 74 0
ADAMS "Town of COLBURN Ward 1" 41 21 20 0
ADAMS "Town of DELL PRAIRIE Ward 1-3" 234 110 124 0
ADAMS "Town of EASTON Ward 1-2" 193 73 120 0
ADAMS "Town of JACKSON Ward 1-2" 205 93 112 0
ADAMS "Town of LEOLA Ward 1" 49 11 38 0
ADAMS "Town of LINCOLN Ward 1" 75 30 45 0
ADAMS "Town of MONROE Ward 1" 109 53 56 0
ADAMS "Town of NEW CHESTER Ward 1-3" 129 69 60 0
ADAMS "Town of NEW HAVEN Ward 1" 133 76 56 1
ADAMS "Town of PRESTON Ward 1-2" 283 153 130 0
ADAMS "Town of QUINCY Wards 1-3" 225 115 110 0
ADAMS "Town of RICHFIELD Ward 1" 41 14 27 0
ADAMS "Town of ROME Ward 1-5" 783 425 358 0
ADAMS "Town of SPRINGVILLE Ward 1-2" 229 97 132 0
ADAMS "Town of STRONGS PRAIRIE Wards 1-3" 235 114 121 0
ADAMS "Village of FRIENDSHIP Ward 1" 123 71 52 0
ADAMS "City of ADAMS Ward 1" 90 38 52 0
ADAMS "City of ADAMS Ward 2" 103 63 39 1
ADAMS "City of ADAMS Ward 3" 57 28 29 0
ADAMS "City of ADAMS Ward 4" 58 36 22 0
ADAMS "CITY OF WISCONSIN DELLS Wards 5,9" 5 2 3 0
ASHLAND "Town of AGENDA Ward 1" 74 31 43 0
ASHLAND "Town of ASHLAND Ward 1" 90 67 23 0
ASHLAND "Town of CHIPPEWA Ward 1" 97 37 60 0
ASHLAND "Town of GINGLES Ward 1" 145 94 51 0
ASHLAND "Town of GORDON Ward 1" 31 11 20 0
ASHLAND "Town of GORDON Ward 2" 12 7 5 0
ASHLAND "Town of JACOBS Ward 1" 103 54 49 0
ASHLAND "Town of LA POINTE Ward 1" 175 134 41 0
ASHLAND "Town of MARENGO Ward 1" 53 34 15 4
ASHLAND "Town of MARENGO Ward 2" 46 27 12 7
ASHLAND "Town of MORSE Ward 1" 68 44 24 0
ASHLAND "Town of MORSE Ward 2" 10 7 3 0
ASHLAND "Town of MORSE Ward 3" 8 5 3 0
ASHLAND "Town of PEEKSVILLE Ward 1" 26 7 19 0
ASHLAND "Town of PEEKSVILLE Ward 2" 21 11 10 0
ASHLAND "Town of SANBORN Ward 1" 60 51 9 0
ASHLAND "Town of SANBORN Ward 2" 66 56 10 0
