DIST COUNTY AREA TOTAL DEM REP IND OTH
DIST COUNTY AREA TOTAL DEM REP IND OTH
1 KENOSHA "Town of BRIGHTON Wards 1-4" 1992 238 757 0 1
1 KENOSHA "Town of PARIS Wards 1-2" 2034 258 759 0 0
1 KENOSHA "Town of RANDALL Wards 1-7" 4024 575 1436 0 1
1 KENOSHA "Town of SOMERS Ward 1" 170 27 57 0 1
1 KENOSHA "Town of SOMERS Ward 2" 990 188 306 0 1
1 KENOSHA "Town of WHEATLAND Wards 1-6" 4178 612 1476 0 1
1 KENOSHA "Village of BRISTOL Wards 1-3,8" 3634 529 1288 0 0
1 KENOSHA "Village of BRISTOL Wards 4-7" 2926 433 1026 0 4
1 KENOSHA "VILLAGE OF GENOA CITY Ward 5" 0 0 0 0 0
1 KENOSHA "Village of PADDOCK LAKE Wards 1-6" 3354 529 1145 0 3
1 KENOSHA "Village of PLEASANT PRAIRIE Wards 1-3" 6078 1240 1798 0 1
1 KENOSHA "Village of PLEASANT PRAIRIE Wards 4-5" 3210 596 1007 0 2
1 KENOSHA "Village of PLEASANT PRAIRIE Wards 6-7,12" 6350 1405 1769 0 1
1 KENOSHA "Village of PLEASANT PRAIRIE Wards 8-11" 6592 1165 2130 0 1
1 KENOSHA "Village of PLEASANT PRAIRIE Wards 13-14" 3872 760 1175 0 1
1 KENOSHA "Village of SALEM LAKES Wards 1-5,10" 7920 1228 2725 0 7
1 KENOSHA "Village of SALEM LAKES Wards 6-9" 6206 991 2108 0 4
1 KENOSHA "Village of SALEM LAKES Wards 11-13" 2674 375 962 0 0
1 KENOSHA "Village of SOMERS Wards 1-4" 3494 658 1089 0 0
1 KENOSHA "Village of SOMERS Wards 5-6,9-10" 2892 639 805 0 2
1 KENOSHA "Village of SOMERS Wards 7-8" 1512 367 387 0 2
1 KENOSHA "Village of SOMERS Ward 11" 838 162 257 0 0
1 KENOSHA "Village of SOMERS Ward 12" 1032 171 345 0 0
1 KENOSHA "Village of TWIN LAKES Wards 1-9" 6808 1101 2300 0 3
1 KENOSHA "City of KENOSHA Ward 1" 1186 361 232 0 0
1 KENOSHA "City of KENOSHA Ward 2" 1000 254 245 0 1
1 KENOSHA "City of KENOSHA Ward 3" 434 159 58 0 0
1 KENOSHA "City of KENOSHA Ward 4" 1576 467 319 0 2
1 KENOSHA "City of KENOSHA Ward 5" 950 289 185 0 1
1 KENOSHA "City of KENOSHA Ward 6" 1076 306 232 0 0
1 KENOSHA "City of KENOSHA Ward 7" 732 264 101 0 1
1 KENOSHA "City of KENOSHA Ward 8" 2040 634 382 0 4
1 KENOSHA "City of KENOSHA Ward 9" 914 261 196 0 0
1 KENOSHA "City of KENOSHA Ward 10" 788 272 122 0 0
1 KENOSHA "City of KENOSHA Ward 11" 880 279 160 0 1
1 KENOSHA "City of KENOSHA Ward 12" 1228 345 268 0 1
1 KENOSHA "City of KENOSHA Ward 13" 1446 350 373 0 0
1 KENOSHA "City of KENOSHA Ward 14" 1460 393 334 0 3
1 KENOSHA "City of KENOSHA Ward 15" 2052 552 474 0 0
1 KENOSHA "City of KENOSHA Ward 16" 846 200 222 0 1
1 KENOSHA "City of KENOSHA Ward 17" 348 94 80 0 0
1 KENOSHA "City of KENOSHA Ward 18" 1482 404 337 0 0
1 KENOSHA "City of KENOSHA Ward 19" 580 161 129 0 0
1 KENOSHA "City of KENOSHA Ward 20" 1222 274 337 0 0
1 KENOSHA "City of KENOSHA Ward 21" 644 135 187 0 0
1 KENOSHA "City of KENOSHA Ward 22" 3134 724 839 0 4
1 KENOSHA "City of KENOSHA Ward 23" 748 193 181 0 0
1 KENOSHA "City of KENOSHA Ward 24" 1390 355 340 0 0
1 KENOSHA "City of KENOSHA Ward 25" 1554 409 366 0 2
1 KENOSHA "City of KENOSHA Ward 26" 710 205 150 0 0
1 KENOSHA "City of KENOSHA Ward 27" 1166 361 220 0 2
1 KENOSHA "City of KENOSHA Ward 28" 750 245 130 0 0
1 KENOSHA "City of KENOSHA Ward 29" 776 259 129 0 0
1 KENOSHA "City of KENOSHA Ward 30" 768 259 125 0 0
1 KENOSHA "City of KENOSHA Ward 31" 1586 430 361 0 2
1 KENOSHA "City of KENOSHA Ward 32" 554 181 95 0 1
1 KENOSHA "City of KENOSHA Ward 33" 50 22 3 0 0
1 KENOSHA "City of KENOSHA Ward 34" 868 216 216 0 2
1 KENOSHA "City of KENOSHA Ward 35" 1622 432 378 0 1
1 KENOSHA "City of KENOSHA Ward 36" 510 188 67 0 0
1 KENOSHA "City of KENOSHA Ward 37" 1494 439 306 0 2
1 KENOSHA "City of KENOSHA Ward 38" 2118 583 476 0 0
1 KENOSHA "City of KENOSHA Ward 39" 1302 313 338 0 0
1 KENOSHA "City of KENOSHA Ward 40" 598 156 143 0 0
1 KENOSHA "City of KENOSHA Ward 41" 914 218 238 0 1
1 KENOSHA "City of KENOSHA Ward 42" 856 229 197 0 2
1 KENOSHA "City of KENOSHA Ward 43" 1678 427 411 0 1
1 KENOSHA "City of KENOSHA Ward 44" 1090 272 273 0 0
1 KENOSHA "City of KENOSHA Ward 45" 820 247 163 0 0
1 KENOSHA "City of KENOSHA Ward 46" 806 287 116 0 0
1 KENOSHA "City of KENOSHA Ward 47" 484 137 104 0 1
1 KENOSHA "City of KENOSHA Ward 48" 588 206 88 0 0
1 KENOSHA "City of KENOSHA Ward 49" 794 234 162 0 1
1 KENOSHA "City of KENOSHA Ward 50" 1038 316 201 0 2
1 KENOSHA "City of KENOSHA Ward 51" 808 204 200 0 0
1 KENOSHA "City of KENOSHA Ward 52" 1414 405 302 0 0
1 KENOSHA "City of KENOSHA Ward 53" 582 126 164 0 1
1 KENOSHA "City of KENOSHA Ward 54" 1652 377 449 0 0
1 KENOSHA "City of KENOSHA Ward 55" 796 196 202 0 0
1 KENOSHA "City of KENOSHA Ward 56" 1058 276 252 0 1
1 KENOSHA "City of KENOSHA Ward 57" 1650 398 427 0 0
1 KENOSHA "City of KENOSHA Ward 58" 112 25 31 0 0
1 KENOSHA "City of KENOSHA Ward 59" 2012 451 553 0 2
1 KENOSHA "City of KENOSHA Ward 60" 1694 411 436 0 0
1 KENOSHA "City of KENOSHA Ward 61" 872 191 245 0 0
1 KENOSHA "City of KENOSHA Ward 62" 1832 462 453 0 1
1 KENOSHA "City of KENOSHA Ward 63" 1220 310 299 0 1
1 KENOSHA "City of KENOSHA Ward 64" 1394 334 363 0 0
1 KENOSHA "City of KENOSHA Ward 65" 68 19 15 0 0
1 KENOSHA "City of KENOSHA Ward 66" 2572 588 698 0 0
1 KENOSHA "City of KENOSHA Ward 67" 1502 389 362 0 0
1 KENOSHA "City of KENOSHA Ward 68" 774 174 213 0 0
1 KENOSHA "City of KENOSHA Ward 69" 136 38 30 0 0
1 KENOSHA "City of KENOSHA Ward 70" 50 14 11 0 0
1 KENOSHA "City of KENOSHA Ward 71" 630 179 135 0 1
1 KENOSHA "City of KENOSHA Ward 72" 1652 380 446 0 0
1 KENOSHA "City of KENOSHA Ward 73" 1344 343 329 0 0
