COUNTY AREA TOTAL DEM REP Blankenship Jorgensen Carroll WRI1 WRI2 WRI3 WRI4 WRI5 WRI6 WRI7 SCATTERING
COUNTY AREA TOTAL Biden Trump Blankenship Jorgensen Carroll WRI1 WRI2 WRI3 WRI4 WRI5 WRI6 WRI7 SCATTERING
ADAMS "Town of ADAMS Wards 1-3" 741 263 465 1 11 0 0 0 0 0 0 1 0 0
ADAMS "Town of BIG FLATS Wards 1-2" 565 190 358 5 9 1 0 0 0 0 0 0 0 2
ADAMS "Town of COLBURN Ward 1" 143 44 97 2 0 0 0 0 0 0 0 0 0 0
ADAMS "Town of DELL PRAIRIE Wards 1-3" 992 358 630 1 3 0 0 0 0 0 0 0 0 0
ADAMS "Town of EASTON Wards 1-2" 569 184 377 4 3 0 0 0 0 0 0 0 0 1
ADAMS "Town of JACKSON Wards 1-2" 676 262 406 0 5 0 0 0 0 0 0 0 0 3
ADAMS "Town of LEOLA Ward 1" 168 35 132 0 1 0 0 0 0 0 0 0 0 0
ADAMS "Town of LINCOLN Ward 1" 213 71 140 2 0 0 0 0 0 0 0 0 0 0
ADAMS "Town of MONROE Ward 1" 295 122 173 0 0 0 0 0 0 0 0 0 0 0
ADAMS "Town of NEW CHESTER Wards 1-3" 532 174 351 2 4 0 0 0 0 1 0 0 0 0
ADAMS "Town of NEW HAVEN Ward 1" 416 168 243 0 4 0 0 0 0 0 0 0 0 1
ADAMS "Town of PRESTON Wards 1-2" 792 291 494 1 6 0 0 0 0 0 0 0 0 0
ADAMS "Town of QUINCY Wards 1-3" 752 309 438 0 4 1 0 0 0 0 0 0 0 0
ADAMS "Town of RICHFIELD Ward 1" 104 27 75 1 1 0 0 0 0 0 0 0 0 0
ADAMS "Town of ROME Wards 1-5" 2254 849 1390 4 10 0 0 0 0 0 0 0 0 1
ADAMS "Town of SPRINGVILLE Wards 1-2" 791 269 508 2 11 1 0 0 0 0 0 0 0 0
ADAMS "Town of STRONGS PRAIRIE Wards 1-3" 711 269 438 1 2 0 0 0 0 0 0 0 0 1
ADAMS "Village of FRIENDSHIP Ward 1" 290 113 173 0 4 0 0 0 0 0 0 0 0 0
ADAMS "City of ADAMS Wards 1-4" 789 322 458 1 7 0 0 0 0 0 0 0 0 1
ADAMS "CITY OF WISCONSIN DELLS Wards 5,9" 25 9 16 0 0 0 0 0 0 0 0 0 0 0
ASHLAND "Town of AGENDA Ward 1" 257 65 191 0 1 0 0 0 0 0 0 0 0 0
ASHLAND "Town of ASHLAND Ward 1" 314 152 159 0 0 0 0 0 0 0 0 0 0 3
ASHLAND "Town of CHIPPEWA Ward 1" 223 75 147 0 1 0 0 0 0 0 0 0 0 0
ASHLAND "Town of GINGLES Ward 1" 502 239 254 1 5 1 0 0 0 0 0 0 0 2
ASHLAND "Town of GORDON Wards 1-2" 183 67 113 0 3 0 0 0 0 0 0 0 0 0
