DIST COUNTY AREA TOTAL DEM REP CON IND OTHER
DIST COUNTY AREA TOTAL Dem Rep Con Ind Other
1 Brown "City Of Green Bay Ward 1" 0 10 16 0 0 0
1 Brown "Town Of Eaton Wards 1-2" 0 320 712 0 0 0
1 Brown "Town Of Green Bay Wards 1-3" 0 345 1039 0 0 0
1 Brown "Town Of Humboldt Wards 1-2" 0 216 622 0 0 0
1 Brown "Town Of Scott Wards 1-4" 0 940 1563 0 0 0
1 Door "City Of Sturgeon Bay Wards 1-6,22-24,29" 0 1188 1222 0 0 2
1 Door "City Of Sturgeon Bay Wards 11-17,28" 0 714 796 0 0 2
1 Door "City Of Sturgeon Bay Wards 7-10,18-21,25-27,30" 0 708 871 0 0 0
1 Door "Town Of Baileys Harbor Wards 1-2" 0 510 420 0 0 1
1 Door "Town Of Brussels Wards 1-2" 0 190 492 0 0 0
1 Door "Town Of Clay Banks Ward 1" 0 100 158 0 0 1
1 Door "Town Of Egg Harbor Wards 1-3" 0 488 581 0 0 0
1 Door "Town Of Forestville Wards 1-2" 0 211 447 0 0 1
1 Door "Town Of Gardner Wards 1-2" 0 274 535 0 0 0
1 Door "Town Of Gibraltar Wards 1-2" 0 493 442 0 0 1
1 Door "Town Of Jacksonport Wards 1-2" 0 258 356 0 0 2
1 Door "Town Of Liberty Grove Wards 1-3" 0 873 737 0 0 0
1 Door "Town Of Nasewaupee Wards 1-3" 0 483 817 0 0 0
1 Door "Town Of Sevastopol Wards 1-5" 0 835 1241 0 0 2
1 Door "Town Of Sturgeon Bay Wards 1-2" 0 197 339 0 0 0
1 Door "Town Of Union Ward 1" 0 200 485 0 0 0
1 Door "Town Of Washington Ward 1" 0 257 366 0 0 0
1 Door "Village Of Egg Harbor Ward 1" 0 151 104 0 0 0
1 Door "Village Of Ephraim Ward 1" 0 135 131 0 0 0
1 Door "Village Of Forestville Ward 1" 0 88 189 0 0 0
1 Door "Village Of Sister Bay Ward 1" 0 430 380 0 0 0
1 Kewaunee "City Of Algoma Wards 1-6" 0 770 902 0 0 0
1 Kewaunee "City Of Kewaunee Wards 1-5" 0 614 938 0 0 0
1 Kewaunee "Town Of Ahnapee Ward 1" 0 192 326 0 0 0
1 Kewaunee "Town Of Carlton Wards 1-2" 0 158 492 0 0 0
1 Kewaunee "Town Of Casco Wards 1-3" 0 186 528 0 0 1
1 Kewaunee "Town Of Franklin Ward 1" 0 181 424 0 0 0
1 Kewaunee "Town Of Lincoln Ward 1" 0 174 353 0 0 0
1 Kewaunee "Town Of Luxemburg Wards 1-3" 0 183 778 0 0 2
1 Kewaunee "Town Of Montpelier Wards 1-3" 0 245 649 0 0 1
1 Kewaunee "Town Of Pierce Wards 1-2" 0 168 299 0 0 1
1 Kewaunee "Town Of Red River Wards 1-3" 0 246 649 0 0 0
1 Kewaunee "Town Of West Kewaunee Wards 1-2" 0 172 616 0 0 0
1 Kewaunee "Village Of Casco Ward 1" 0 87 249 0 0 0
1 Kewaunee "Village Of Luxemburg Wards 1-5" 0 399 1000 0 0 0
1 Manitowoc "Town Of Two Creeks Ward 1" 0 73 177 0 0 0
2 Brown "City Of De Pere Ward 5" 0 142 115 0 0 1
2 Brown "City Of De Pere Wards 10-12" 0 1248 1419 0 0 2
2 Brown "City Of De Pere Wards 13-15" 0 1564 2098 0 0 1
2 Brown "City Of De Pere Wards 9,18" 0 395 420 0 0 3
2 Brown "Town Of Holland Wards 1-2" 0 297 689 0 0 1
2 Brown "Town Of Lawrence Wards 1-6" 0 1356 2550 0 0 2
2 Brown "Town Of Ledgeview Wards 4-7" 0 969 1462 0 0 1
2 Brown "Town Of Morrison Wards 1-2" 0 195 761 0 0 0
2 Brown "Town Of New Denmark Wards 1-3" 0 325 679 0 0 0
2 Brown "Town Of Rockland Wards 1-3" 0 365 821 0 0 3
2 Brown "Town Of Wrightstown Wards 1-3" 0 431 1034 0 0 0
2 Brown "Village Of Denmark Wards 1-4" 0 414 818 0 0 2
2 Brown "Village Of Hobart Ward 9" 0 69 55 0 0 0
2 Brown "Village Of Wrightstown Wards 1-3" 0 522 1130 0 0 2
2 Manitowoc "City Of Two Rivers Wards 1-2" 0 524 681 0 0 2
2 Manitowoc "City Of Two Rivers Wards 3-4" 0 775 1111 0 0 4
2 Manitowoc "City Of Two Rivers Wards 5-6" 0 599 765 0 0 4
2 Manitowoc "City Of Two Rivers Wards 7-8" 0 574 719 0 0 2
2 Manitowoc "Town Of Cooperstown Wards 1-2" 0 221 552 0 0 0
2 Manitowoc "Town Of Franklin Wards 1-3" 0 184 547 0 0 1
2 Manitowoc "Town Of Gibson Wards 1-2" 0 252 560 0 0 0
2 Manitowoc "Town Of Kossuth Wards 1-3" 0 380 856 0 0 0
2 Manitowoc "Town Of Mishicot Wards 1-2" 0 209 542 0 0 0
2 Manitowoc "Town Of Two Rivers Wards 1-2" 0 357 736 0 0 0
2 Manitowoc "Village Of Francis Creek Ward 1" 0 139 232 0 0 1
2 Manitowoc "Village Of Kellnersville Ward 1" 0 73 103 0 0 0
2 Manitowoc "Village Of Maribel Ward 1" 0 51 123 0 0 0
2 Manitowoc "Village Of Mishicot Wards 1-4" 0 277 536 0 0 2
2 Outagamie "Village Of Wrightstown Ward 4" 0 63 130 0 0 0
3 Calumet "City Of Appleton Ward 12" 0 196 185 0 0 0
3 Calumet "City Of Appleton Ward 13" 0 531 462 0 0 0
3 Calumet "City Of Appleton Ward 14" 0 486 422 0 0 0
3 Calumet "City Of Appleton Ward 26" 0 554 542 0 0 0
3 Calumet "City Of Appleton Ward 44" 0 543 577 0 0 0
3 Calumet "City Of Appleton Ward 45" 0 670 694 0 0 0
3 Calumet "City Of Appleton Ward 46" 0 42 66 0 0 0
3 Calumet "City Of Appleton Ward 47" 0 0 0 0 0 0
3 Calumet "City Of Brillion Wards 1-5" 0 509 1173 0 0 0
3 Calumet "City Of Kaukauna Ward 11" 0 0 0 0 0 0
3 Calumet "City Of Menasha Wards 16-20" 0 839 996 0 0 0
3 Calumet "Town Of Brillion Wards 1-2" 0 215 724 0 0 0
3 Calumet "Town Of Stockbridge Wards 1-3" 0 268 718 0 0 0
3 Calumet "Town Of Woodville Ward 1" 0 111 431 0 0 0
3 Calumet "Village Of Harrison Wards 11-13" 0 882 1285 0 0 1
3 Calumet "Village Of Harrison Wards 3-4,17-18" 0 839 1144 0 0 2
3 Calumet "Village Of Harrison Wards 5-6,10" 0 545 854 0 0 1
3 Calumet "Village Of Harrison Wards 7-9,14-16" 0 689 1350 0 0 0
3 Calumet "Village Of Hilbert Ward 3" 0 0 0 0 0 0
3 Calumet "Village Of Sherwood Wards 1-5" 0 792 1369 0 0 0
3 Calumet "Village Of Stockbridge Ward 1" 0 117 310 0 0 0
3 Outagamie "City Of Appleton Ward 59" 0 2 1 0 0 0
3 Outagamie "City Of Kaukauna Wards 12,14" 0 0 1 0 0 0
3 Outagamie "City Of Kaukauna Wards 13,15" 0 0 4 0 0 0
3 Outagamie "Town Of Buchanan Wards 1-10" 0 1741 2566 0 0 0
3 Outagamie "Village Of Combined Locks Wards 1-6" 0 929 1320 0 0 0
3 Outagamie "Village Of Harrison Wards 1-2" 0 0 0 0 0 0
