DIST COUNTY AREA TOTAL DEM REP IND OTHER
DIST COUNTY AREA TOTAL Dem Rep Ind Other
2 Brown "City Of De Pere Wards 16-17" 0 0 4 0 0
2 Brown "City Of Green Bay Ward 34" 0 0 887 0 30
2 Brown "City Of Green Bay Ward 35" 0 0 599 0 29
2 Brown "City Of Green Bay Ward 41" 0 0 354 0 17
2 Brown "City Of Green Bay Ward 43" 0 0 838 0 34
2 Brown "City Of Green Bay Ward 44" 0 0 1166 0 51
2 Brown "City Of Green Bay Ward 45" 0 0 1436 0 46
2 Brown "City Of Green Bay Ward 46" 0 0 945 0 51
2 Brown "City Of Green Bay Ward 47" 0 0 1214 0 41
2 Brown "Town Of Pittsfield Wards 1-3" 0 0 1577 0 15
2 Brown "Village Of Allouez Wards 1-2" 0 0 1431 0 70
2 Brown "Village Of Allouez Wards 3-4" 0 0 1352 0 71
2 Brown "Village Of Allouez Wards 5-6" 0 0 1736 0 69
2 Brown "Village Of Allouez Wards 7-9" 0 0 1351 0 89
2 Brown "Village Of Ashwaubenon Wards 1-2" 0 0 1066 0 48
2 Brown "Village Of Ashwaubenon Wards 11-12" 0 0 1379 0 59
2 Brown "Village Of Ashwaubenon Wards 3-4" 0 0 1019 0 32
2 Brown "Village Of Ashwaubenon Wards 5-6" 0 0 1175 0 51
2 Brown "Village Of Ashwaubenon Wards 7-8" 0 0 1461 0 54
2 Brown "Village Of Ashwaubenon Wards 9-10" 0 0 1625 0 58
2 Brown "Village Of Hobart Wards 1-8" 0 0 4283 0 154
2 Brown "Village Of Howard Ward 5" 0 0 321 0 16
2 Brown "Village Of Howard Ward 7" 0 0 630 0 25
2 Brown "Village Of Howard Ward 8" 0 0 886 0 38
2 Brown "Village Of Howard Wards 15-16" 0 0 1517 0 38
2 Brown "Village Of Howard Wards 2,9-11,18" 0 0 2828 0 98
2 Brown "Village Of Pulaski Wards 1-3,6" 0 0 1474 0 33
2 Oconto "Village Of Pulaski Ward 5" 0 0 0 0 0
2 Outagamie "City Of Appleton Ward 58" 0 0 0 0 0
2 Outagamie "City Of Kaukauna Wards 1-5" 0 0 3040 0 0
2 Outagamie "City Of Kaukauna Wards 6-10" 0 0 3303 0 0
2 Outagamie "City Of Seymour Wards 1-6" 0 0 1494 0 0
2 Outagamie "Town Of Black Creek Wards 1-2" 0 0 636 0 0
2 Outagamie "Town Of Bovina Wards 1-2" 0 0 613 0 0
2 Outagamie "Town Of Center Wards 1-7" 0 0 2018 0 0
2 Outagamie "Town Of Cicero Wards 1-2" 0 0 521 0 0
2 Outagamie "Town Of Deer Creek Ward 1" 0 0 265 0 0
2 Outagamie "Town Of Ellington Wards 1-5" 0 0 1622 0 0
2 Outagamie "Town Of Freedom Wards 1-8" 0 0 3134 0 0
2 Outagamie "Town Of Hortonia Wards 1-2" 0 0 601 0 0
2 Outagamie "Town Of Kaukauna Wards 1-3" 0 0 751 0 0
2 Outagamie "Town Of Liberty Ward 1" 0 0 468 0 0
2 Outagamie "Town Of Maine Ward 1" 0 0 435 0 0
2 Outagamie "Town Of Maple Creek Ward 1" 0 0 308 0 0
2 Outagamie "Town Of Oneida Wards 1-6" 0 0 1560 0 0
2 Outagamie "Town Of Osborn Wards 1-2" 0 0 655 0 0
2 Outagamie "Town Of Seymour Wards 1-2" 0 0 630 0 0
2 Outagamie "Town Of Vandenbroek Wards 1-3" 0 0 837 0 0
2 Outagamie "Village Of Bear Creek Ward 1" 0 0 120 0 0
2 Outagamie "Village Of Black Creek Wards 1-2" 0 0 570 0 0
2 Outagamie "Village Of Hortonville Wards 1-3" 0 0 1394 0 0
2 Outagamie "Village Of Howard Ward 17" 0 0 0 0 0
2 Outagamie "Village Of Little Chute Wards 1,4-5,14" 0 0 1390 0 0
2 Outagamie "Village Of Little Chute Wards 2,6,8,12-13" 0 0 956 0 0
2 Outagamie "Village Of Nichols Ward 1" 0 0 114 0 0
2 Outagamie "Village Of Shiocton Ward 1" 0 0 377 0 0
2 Outagamie "Village Of Wrightstown Ward 5" 0 0 0 0 0
2 Shawano "City Of Shawano Wards 1-2" 0 0 485 0 0
2 Shawano "City Of Shawano Wards 11-12" 0 0 598 0 0
2 Shawano "City Of Shawano Wards 3-4" 0 0 525 0 0
2 Shawano "City Of Shawano Wards 5-6" 0 0 516 0 0
2 Shawano "City Of Shawano Wards 7-8" 0 0 458 0 0
2 Shawano "City Of Shawano Wards 9-10" 0 0 581 0 0
2 Shawano "Town Of Angelica Wards 1-3" 0 0 953 0 0
2 Shawano "Town Of Bartelme Ward 1" 0 0 170 0 0
2 Shawano "Town Of Belle Plaine Wards 1-3" 0 0 940 0 0
2 Shawano "Town Of Fairbanks Ward 1" 0 0 310 0 0
2 Shawano "Town Of Germania Wards 1-2" 0 0 173 0 0
2 Shawano "Town Of Grant Wards 1-2" 0 0 485 0 0
2 Shawano "Town Of Hartland Ward 1" 0 0 393 0 0
2 Shawano "Town Of Herman Wards 1-2" 0 0 362 0 0
2 Shawano "Town Of Lessor Wards 1-2" 0 0 698 0 0
2 Shawano "Town Of Maple Grove Ward 1" 0 0 500 0 0
2 Shawano "Town Of Morris Ward 1" 0 0 193 0 0
2 Shawano "Town Of Navarino Ward 1" 0 0 232 0 0
2 Shawano "Town Of Pella Ward 1" 0 0 468 0 0
2 Shawano "Town Of Red Springs Wards 1-2" 0 0 332 0 0
2 Shawano "Town Of Richmond Wards 1-3" 0 0 1004 0 0
2 Shawano "Town Of Seneca Ward 1" 0 0 246 0 0
2 Shawano "Town Of Waukechon Wards 1-2" 0 0 516 0 0
2 Shawano "Town Of Wescott Wards 1-4" 0 0 1620 0 0
2 Shawano "Town Of Wittenberg Wards 1-2" 0 0 424 0 0
2 Shawano "Village Of Bonduel Wards 1-2" 0 0 692 0 0
2 Shawano "Village Of Gresham Ward 1" 0 0 206 0 0
2 Shawano "Village Of Pulaski Wards 4,7" 0 0 89 0 0
2 Shawano "Village Of Tigerton Ward 1" 0 0 312 0 0
2 Shawano "Village Of Wittenberg Wards 1-2" 0 0 355 0 0
2 Waupaca "City Of Clintonville Wards 1-7" 0 0 1538 0 36
2 Waupaca "Town Of Bear Creek Ward 1" 0 0 370 0 4
2 Waupaca "Town Of Lebanon Wards 1-3" 0 0 802 0 7
2 Waupaca "Town Of Matteson Ward 1" 0 0 523 0 2
2 Waupaca "Village Of Embarrass Ward 1" 0 0 167 0 0
4 Milwaukee "City Of Glendale Ward 11S" 0 240 0 0 3
4 Milwaukee "City Of Glendale Wards 1,7" 0 989 0 0 40
4 Milwaukee "City Of Glendale Wards 2,8S" 0 678 0 0 14
4 Milwaukee "City Of Glendale Wards 6,12" 0 860 0 0 33
4 Milwaukee "City Of Milwaukee Ward 1" 0 1009 0 0 14
4 Milwaukee "City Of Milwaukee Ward 10" 0 929 0 0 44
4 Milwaukee "City Of Milwaukee Ward 11" 0 864 0 0 16
4 Milwaukee "City Of Milwaukee Ward 112" 0 545 0 0 4
4 Milwaukee "City Of Milwaukee Ward 113" 0 477 0 0 1
4 Milwaukee "City Of Milwaukee Ward 114" 0 465 0 0 2
4 Milwaukee "City Of Milwaukee Ward 115" 0 767 0 0 4
4 Milwaukee "City Of Milwaukee Ward 116" 0 388 0 0 0
4 Milwaukee "City Of Milwaukee Ward 117" 0 451 0 0 0
4 Milwaukee "City Of Milwaukee Ward 118" 0 539 0 0 1
4 Milwaukee "City Of Milwaukee Ward 119" 0 547 0 0 3
4 Milwaukee "City Of Milwaukee Ward 12" 0 706 0 0 11
4 Milwaukee "City Of Milwaukee Ward 120" 0 448 0 0 3
4 Milwaukee "City Of Milwaukee Ward 121" 0 607 0 0 2
